c degrees:  6 
c girth: 6 max: 6.656780  
c desired: 1000
-166 77 9 0
209 205 -95 0
-44 38 -143 0
-110 3 31 0
-126 -130 -217 0
1 -244 215 0
199 233 -226 0
-182 94 85 0
-62 121 -9 0
-226 7 -72 0
-68 114 -45 0
204 227 167 0
-228 -149 -174 0
-79 -198 14 0
-130 -46 -215 0
236 -205 -132 0
184 -191 146 0
-22 45 -250 0
-212 -116 111 0
-115 -107 203 0
-35 -247 196 0
135 -224 -29 0
-100 100 -36 0
249 -164 122 0
-80 106 -66 0
80 6 238 0
241 -216 -232 0
22 -143 200 0
-16 124 177 0
101 37 48 0
123 -190 215 0
144 182 -149 0
-127 79 -131 0
58 -60 -62 0
-24 105 242 0
-128 52 54 0
-159 -235 -208 0
21 116 66 0
-58 25 -165 0
98 20 -159 0
-176 138 -42 0
-20 97 -233 0
-81 248 180 0
139 172 126 0
178 -124 218 0
153 34 -234 0
-27 13 -141 0
-88 189 166 0
-77 214 238 0
-71 156 -88 0
87 -188 4 0
149 102 79 0
18 -183 219 0
-221 -180 232 0
191 27 199 0
-28 23 -34 0
19 138 220 0
-210 193 131 0
-233 107 -72 0
-224 -181 -161 0
240 -117 15 0
208 -42 -54 0
-153 -46 229 0
75 96 -228 0
-149 -12 108 0
-32 107 -94 0
-220 83 2 0
136 -172 -225 0
250 -163 84 0
89 181 13 0
-139 94 203 0
-239 79 -184 0
67 208 -1 0
157 -82 75 0
69 -91 113 0
-15 -7 167 0
235 87 -134 0
-3 144 43 0
-61 -77 148 0
-155 243 -130 0
116 -3 -108 0
29 110 -46 0
85 -110 21 0
-104 -210 -103 0
200 34 174 0
110 -49 57 0
-105 -93 143 0
-133 -171 229 0
-132 -242 -48 0
-59 110 -123 0
83 174 201 0
-87 4 113 0
-222 104 141 0
91 -211 -20 0
-106 161 156 0
-194 -162 42 0
-201 -207 210 0
-74 8 40 0
-197 -92 183 0
7 -171 -135 0
57 -35 74 0
168 131 88 0
237 -136 124 0
-157 130 33 0
170 180 -193 0
-238 -71 57 0
206 20 123 0
180 234 -140 0
163 157 196 0
214 -16 -250 0
-11 -131 68 0
130 -75 95 0
-118 208 -229 0
86 -114 216 0
90 141 -118 0
68 187 -24 0
64 209 163 0
131 -9 -119 0
-90 -77 -219 0
-180 31 142 0
175 186 -180 0
47 168 171 0
-122 -214 183 0
105 16 173 0
-225 -38 -163 0
146 58 235 0
70 210 -124 0
94 230 149 0
66 92 188 0
118 193 -100 0
-119 -89 -101 0
-188 239 157 0
223 -28 44 0
211 -205 168 0
-204 -33 109 0
205 -161 126 0
41 65 226 0
127 13 196 0
-63 -54 222 0
124 128 -2 0
100 -106 137 0
-102 112 227 0
-242 -109 -165 0
-202 32 -211 0
140 -237 106 0
141 39 196 0
-196 222 93 0
-152 150 -247 0
104 -217 219 0
-9 241 52 0
-10 -136 -214 0
-33 -236 -211 0
232 -23 -151 0
-52 -212 186 0
-206 105 -205 0
-245 -238 236 0
-191 90 175 0
220 112 232 0
117 -175 -187 0
-97 190 -153 0
5 188 140 0
167 -51 72 0
151 211 -180 0
145 169 -162 0
34 -173 -148 0
-83 -59 225 0
166 71 -180 0
-13 -175 54 0
194 36 -29 0
195 207 147 0
-69 -201 176 0
15 48 -221 0
-240 24 115 0
-25 -18 -206 0
-38 -52 -19 0
121 229 -178 0
-40 -47 -70 0
9 -68 -245 0
-214 -111 -160 0
25 -248 153 0
-175 -145 -163 0
-207 -110 -194 0
-109 246 -196 0
78 -41 228 0
-54 13 -107 0
-232 -127 -77 0
-229 21 223 0
188 -156 53 0
217 26 -192 0
-211 18 71 0
-144 239 119 0
-120 -74 83 0
173 -22 -144 0
-138 -38 -27 0
3 114 -95 0
33 89 -238 0
-125 93 98 0
6 134 240 0
65 99 -17 0
234 -105 -185 0
156 205 221 0
-187 72 -142 0
-162 27 245 0
-26 -222 -170 0
171 97 195 0
-114 -157 73 0
210 -188 -137 0
-66 211 22 0
-53 -44 -148 0
63 -191 109 0
-169 134 -125 0
224 192 46 0
-235 96 145 0
-178 -72 114 0
-209 85 164 0
-103 -245 -168 0
111 110 -217 0
43 -178 -192 0
92 136 -231 0
45 -3 10 0
-65 218 -100 0
14 -169 -219 0
-31 29 22 0
186 -213 185 0
76 -176 -58 0
55 27 119 0
-165 -189 -110 0
-108 -214 -40 0
248 -230 138 0
37 -133 -102 0
-173 182 -123 0
-86 208 86 0
-244 -235 65 0
219 70 139 0
245 -32 47 0
49 -235 4 0
-135 32 -26 0
-39 116 72 0
231 -52 -226 0
107 -121 -36 0
2 -183 199 0
114 -241 -185 0
227 82 165 0
108 125 154 0
-129 -130 152 0
113 -194 -176 0
77 47 -192 0
72 147 -243 0
164 60 136 0
-205 -121 -139 0
-147 -179 121 0
73 -213 176 0
221 -23 -127 0
-200 -121 -90 0
39 -250 -4 0
-84 238 210 0
24 152 83 0
247 99 -12 0
-140 201 -117 0
196 -196 -232 0
11 -120 39 0
17 21 -2 0
-93 -6 161 0
40 207 233 0
106 -55 7 0
-96 -94 55 0
142 -104 -15 0
32 -32 -37 0
-241 95 120 0
28 130 42 0
-164 -86 127 0
-134 -47 -107 0
-199 -54 -184 0
-243 -144 -19 0
134 193 158 0
-89 -75 246 0
228 19 23 0
-142 -222 194 0
-1 -40 1 0
95 62 -25 0
-208 -27 -227 0
62 169 -219 0
-168 -88 -157 0
-217 19 -171 0
-91 29 197 0
-75 56 -77 0
-19 76 174 0
-94 -13 103 0
-48 91 -111 0
-183 -22 -11 0
-21 64 -167 0
176 191 82 0
-151 41 -210 0
-112 10 -10 0
46 214 221 0
179 -212 -108 0
226 -53 125 0
230 -60 -199 0
-92 81 175 0
119 -132 -105 0
4 33 -86 0
-41 8 -106 0
122 37 123 0
-172 -196 59 0
-186 243 106 0
159 -200 -204 0
-99 -8 108 0
132 -13 -98 0
-121 -239 239 0
99 237 -62 0
115 84 -101 0
-4 -109 -133 0
-111 217 -79 0
-213 213 140 0
222 -144 -160 0
158 249 -44 0
-230 133 -122 0
137 -78 -115 0
-143 230 63 0
44 150 244 0
-107 75 -20 0
-46 -70 113 0
233 -44 201 0
-137 72 -200 0
-6 -152 86 0
207 -236 33 0
-231 115 -63 0
71 -172 135 0
-160 -229 165 0
212 98 -187 0
-181 -68 -215 0
109 -224 -65 0
13 142 -13 0
96 -231 -236 0
120 93 159 0
174 127 -78 0
-123 51 175 0
-247 -211 138 0
-161 -193 82 0
-18 108 -52 0
-171 247 -229 0
-42 -61 63 0
36 -146 -12 0
-174 -112 129 0
-124 -48 -112 0
-246 66 49 0
48 219 53 0
60 163 100 0
-234 146 69 0
84 122 -68 0
35 1 193 0
59 232 68 0
26 -225 -193 0
197 -111 -235 0
10 -5 65 0
-45 176 111 0
-78 -159 116 0
185 67 -106 0
-189 -151 125 0
246 -249 202 0
97 49 -139 0
143 -11 110 0
-237 -176 -229 0
103 -135 -224 0
-64 35 2 0
79 43 -48 0
-36 -177 241 0
42 164 151 0
-185 123 -131 0
16 157 34 0
-67 -101 -56 0
-227 -24 177 0
150 49 60 0
147 -247 -73 0
165 139 -246 0
-17 171 -43 0
112 63 -145 0
-158 14 195 0
148 -231 131 0
-14 -190 -129 0
-198 -126 170 0
88 -153 107 0
61 -122 -64 0
23 115 28 0
-72 -82 150 0
74 -8 -150 0
187 -34 -53 0
169 -58 -182 0
20 201 -7 0
183 -51 -215 0
-179 -107 139 0
53 -30 -233 0
38 171 -69 0
160 228 189 0
-190 -160 30 0
-82 -191 36 0
-248 -25 89 0
215 -103 22 0
-136 -240 117 0
-50 -83 -202 0
-167 23 165 0
192 -86 62 0
-34 -158 -241 0
213 -134 160 0
152 -75 32 0
-30 80 4 0
225 235 153 0
-56 -59 172 0
-98 22 183 0
-216 240 217 0
129 -69 180 0
51 76 -183 0
82 248 -30 0
8 -116 58 0
-148 -223 -11 0
172 216 159 0
56 106 -98 0
52 6 21 0
-85 -125 187 0
189 -164 52 0
-49 -203 -138 0
162 -21 245 0
125 -166 156 0
155 147 -76 0
102 86 -49 0
-29 -133 16 0
161 31 -16 0
-57 -73 181 0
-195 -79 -120 0
-218 221 168 0
229 -17 -140 0
133 214 49 0
-150 -91 -125 0
-170 129 204 0
182 -64 -194 0
239 -57 -208 0
198 -127 173 0
-2 16 -105 0
138 105 70 0
-163 -219 -53 0
-5 159 -97 0
-177 -33 16 0
216 101 151 0
203 -150 217 0
-47 164 -51 0
-215 40 202 0
-55 -6 -204 0
-146 152 -92 0
-184 -128 -236 0
-76 -133 47 0
193 -81 -199 0
-223 -166 -182 0
244 91 170 0
181 -200 85 0
-131 75 130 0
31 -34 108 0
-116 155 -50 0
30 95 -69 0
-73 61 10 0
50 -31 185 0
-192 194 243 0
242 74 -67 0
-101 -195 192 0
154 -141 67 0
128 -31 -109 0
177 -148 212 0
190 -147 -8 0
-250 -14 236 0
243 107 224 0
-37 -140 210 0
12 -38 -200 0
201 109 -31 0
-219 -2 -244 0
-12 -162 -121 0
54 -131 -26 0
-70 119 41 0
-60 156 -240 0
238 125 71 0
218 -104 -249 0
-156 160 43 0
-23 197 11 0
-117 54 -174 0
126 -220 -192 0
-95 185 -9 0
-249 224 132 0
-113 45 -233 0
-141 119 -114 0
-43 -189 -173 0
81 169 20 0
-203 184 218 0
-51 -65 -132 0
93 -62 37 0
-236 226 -138 0
202 -36 -151 0
-193 -233 153 0
-145 -220 157 0
-7 -154 17 0
27 238 -82 0
-154 244 -220 0
-8 82 60 0
-166 -65 133 0
209 -78 -76 0
-44 99 160 0
-110 -167 87 0
-126 -113 242 0
1 -157 -15 0
199 215 -203 0
-182 -67 244 0
-62 -94 91 0
-226 46 167 0
-68 -125 142 0
204 -187 152 0
-228 244 213 0
-79 135 -174 0
-130 149 67 0
236 -202 -237 0
184 237 45 0
-22 90 -207 0
-212 -161 -80 0
-115 124 88 0
-35 -117 80 0
135 44 237 0
-100 3 -91 0
249 -55 -58 0
-80 151 173 0
80 -198 -223 0
241 2 -34 0
22 -76 176 0
-16 -29 -201 0
101 -63 3 0
123 190 18 0
144 80 -66 0
-127 -226 61 0
58 -37 -169 0
-24 5 41 0
-128 3 -67 0
-159 132 158 0
21 -27 56 0
-58 137 -210 0
98 -186 198 0
-176 121 -172 0
-20 -52 -170 0
-81 23 -98 0
139 202 -143 0
178 -17 -181 0
153 229 -187 0
-27 -17 -88 0
-88 29 62 0
-77 139 -203 0
-71 -92 250 0
87 172 -126 0
149 143 14 0
18 192 -210 0
-221 133 190 0
191 142 -49 0
-28 -162 218 0
19 -242 -243 0
-210 109 56 0
-233 226 141 0
-224 -84 68 0
240 -1 -23 0
208 180 184 0
-153 161 147 0
75 -110 -136 0
-149 -142 -145 0
-32 -152 -41 0
-220 -5 78 0
136 -16 104 0
250 -66 -177 0
89 38 -242 0
-139 17 -22 0
-239 111 -195 0
67 -85 -66 0
157 -99 -113 0
69 -147 -182 0
-15 163 -48 0
235 -55 128 0
-3 -119 -155 0
-61 179 -168 0
-155 -45 189 0
116 63 -20 0
29 -72 222 0
85 205 206 0
-104 -113 -43 0
200 -155 -199 0
110 -170 223 0
-105 50 -188 0
-133 -241 78 0
-132 -240 145 0
-59 -174 -36 0
83 -100 96 0
-87 -118 -39 0
-222 -45 -57 0
91 -163 -209 0
-106 223 81 0
-194 186 -241 0
-201 -23 207 0
-74 168 120 0
-197 146 154 0
7 93 143 0
57 101 97 0
168 102 -224 0
237 -243 -68 0
-157 -37 59 0
170 -150 -136 0
-238 -102 -239 0
206 224 8 0
180 -232 -5 0
163 -181 132 0
214 146 54 0
-11 -145 -109 0
130 126 -93 0
-118 212 75 0
86 -57 -154 0
90 10 -47 0
68 160 -79 0
64 -240 -186 0
131 -220 53 0
-90 -228 -201 0
-180 -101 7 0
175 249 209 0
47 -149 -86 0
-122 -128 128 0
105 224 -26 0
-225 191 249 0
146 -78 102 0
70 -74 -166 0
94 -203 204 0
66 -223 191 0
118 -246 91 0
-119 231 -157 0
-188 -89 37 0
223 -169 -155 0
211 -10 -248 0
-204 -94 220 0
205 177 -33 0
41 -14 -147 0
127 53 -186 0
-63 135 73 0
124 83 68 0
100 -142 -105 0
-102 -70 225 0
-242 231 -103 0
-202 -214 121 0
140 126 -12 0
141 15 44 0
-196 -20 155 0
-152 28 -142 0
104 -111 35 0
-9 245 -116 0
-10 81 -227 0
-33 86 231 0
232 9 -137 0
-52 -63 -140 0
-206 185 76 0
-245 -40 -149 0
-191 -230 -96 0
220 -53 51 0
117 -184 -190 0
-97 -39 -103 0
5 89 182 0
167 -194 26 0
151 -185 24 0
145 187 -117 0
34 103 41 0
-83 70 -129 0
166 55 188 0
-13 -158 230 0
194 61 6 0
195 174 213 0
-69 219 -4 0
15 227 161 0
-240 92 12 0
-25 241 101 0
-38 192 -112 0
121 -69 250 0
-40 -138 209 0
9 55 -35 0
-214 97 -84 0
25 179 48 0
-175 -30 209 0
-207 92 1 0
-109 -221 -178 0
78 -209 -108 0
-54 -244 178 0
-232 -43 -8 0
-229 69 38 0
188 -56 -205 0
217 -218 27 0
-211 144 178 0
-144 15 140 0
-120 -178 158 0
173 -71 -137 0
-138 -32 11 0
3 19 -218 0
33 -179 -130 0
-125 18 -61 0
6 -221 169 0
65 -85 -172 0
234 -122 212 0
156 213 241 0
-187 -84 -42 0
-162 -108 -128 0
-26 195 -5 0
171 198 -195 0
-114 -127 200 0
210 -98 -222 0
-66 -123 28 0
-53 -170 87 0
63 145 -120 0
-169 76 -71 0
224 112 69 0
-235 36 -19 0
-178 -64 -6 0
-209 -18 98 0
-103 -227 -209 0
111 -118 -24 0
43 62 -230 0
92 204 18 0
45 111 123 0
-65 -90 -85 0
14 199 -152 0
-31 117 -179 0
186 66 -202 0
76 240 -51 0
55 206 102 0
-165 -83 194 0
-108 59 90 0
248 24 -39 0
37 207 26 0
-173 223 12 0
-86 -4 -80 0
-244 -4 40 0
219 -6 186 0
245 170 137 0
49 -216 24 0
-135 181 -60 0
-39 -250 233 0
231 35 77 0
107 -166 -212 0
2 -184 -189 0
114 58 80 0
227 -126 175 0
108 -10 -61 0
-129 136 29 0
113 -120 -177 0
77 132 15 0
72 154 -244 0
164 -61 -35 0
-205 162 -75 0
-147 -222 118 0
73 -56 133 0
221 17 183 0
-200 -91 -134 0
39 -62 -65 0
-84 -88 -73 0
24 -15 235 0
247 -196 -197 0
-140 39 211 0
196 -218 -59 0
11 87 -181 0
17 130 118 0
-93 -81 -83 0
40 60 -29 0
106 -177 -223 0
-96 -95 -188 0
142 -102 -31 0
32 25 -87 0
-241 184 25 0
28 -156 -146 0
-164 -7 36 0
-134 -226 -175 0
-199 159 136 0
-243 143 -99 0
134 151 -138 0
-89 117 5 0
228 94 -1 0
-142 221 92 0
-1 178 -89 0
95 -186 44 0
-208 46 234 0
62 -215 66 0
-168 30 -55 0
-217 -27 34 0
-91 40 144 0
-75 9 100 0
-19 -84 -126 0
-94 81 246 0
-48 177 -63 0
-183 42 -135 0
-21 122 -237 0
176 145 5 0
-151 -206 -38 0
-112 -93 -44 0
46 122 -198 0
179 -21 -96 0
226 17 -124 0
230 -153 -216 0
-92 -228 19 0
119 2 11 0
4 -209 166 0
-41 71 -118 0
122 103 116 0
-172 -139 -104 0
-186 232 -50 0
159 -206 -87 0
-99 216 214 0
132 50 78 0
-121 -35 249 0
99 -137 -128 0
115 -43 50 0
-4 64 -239 0
-111 -173 -102 0
-213 -100 79 0
222 -238 46 0
158 -217 -89 0
-230 -47 -189 0
137 -156 -171 0
-143 52 98 0
44 -208 -204 0
-107 -154 -213 0
-46 118 127 0
233 -99 -202 0
-137 -41 -25 0
-6 212 217 0
207 -146 105 0
-231 -39 -59 0
71 158 -245 0
-160 -123 243 0
212 236 -28 0
-181 -11 -248 0
109 26 -41 0
13 179 -79 0
96 74 -161 0
120 -95 -190 0
174 236 -96 0
-123 -57 171 0
-247 -195 -207 0
-161 38 225 0
-18 -218 45 0
-171 -15 -74 0
-42 118 50 0
36 -134 211 0
-174 -179 206 0
-124 181 88 0
-246 -37 -113 0
48 67 74 0
60 129 -238 0
-234 199 88 0
84 -87 94 0
35 195 64 0
59 -243 -234 0
26 -56 -13 0
197 -50 -115 0
10 225 -156 0
-45 233 -230 0
-78 -22 -81 0
185 198 -97 0
-189 69 -225 0
246 57 113 0
97 148 -182 0
143 73 144 0
-237 -49 -18 0
103 228 134 0
-64 -206 -246 0
79 237 51 0
-36 120 -3 0
42 128 20 0
-185 89 104 0
16 30 -150 0
-67 14 90 0
-227 -90 -81 0
150 -3 -60 0
147 250 179 0
165 131 -71 0
-17 -87 -144 0
112 1 -18 0
-158 178 -147 0
148 -239 -93 0
-14 235 -25 0
-198 247 -132 0
88 166 64 0
61 84 -207 0
23 -141 205 0
-72 137 -158 0
74 43 -234 0
187 -80 150 0
169 172 -245 0
20 140 248 0
183 55 -193 0
-179 173 -21 0
53 -122 103 0
38 100 216 0
160 -246 31 0
-190 73 228 0
-82 165 -97 0
-248 -228 6 0
215 127 -92 0
-136 -104 -152 0
-50 184 77 0
