c degrees:  6 
c girth: 8 max: 6.822736  
c desired: 1200
232 166 -97 0
164 -141 -111 0
191 114 245 0
149 -104 -289 0
44 -45 -270 0
-143 -300 98 0
-37 224 177 0
-228 299 -90 0
-104 219 176 0
-85 -262 219 0
-31 -111 210 0
-145 -137 85 0
-34 -37 49 0
88 45 3 0
61 118 198 0
30 -59 -272 0
295 181 -1 0
-251 -115 -230 0
41 257 209 0
15 -248 -131 0
117 -221 15 0
-4 -92 186 0
47 13 -252 0
-236 -124 -265 0
142 241 -41 0
208 285 -66 0
194 -229 169 0
51 296 79 0
-29 -165 -200 0
209 53 74 0
-270 -170 -29 0
-97 -62 233 0
-103 30 270 0
147 259 -278 0
-247 250 -149 0
139 89 -161 0
-258 -17 51 0
-169 165 -56 0
-294 80 36 0
49 -224 160 0
114 238 -283 0
291 254 267 0
160 262 77 0
69 -56 168 0
-254 -95 42 0
-118 30 285 0
-215 156 -94 0
-234 169 14 0
-210 127 83 0
28 206 -217 0
129 -193 283 0
255 -286 -199 0
212 -33 -110 0
-188 159 185 0
-185 -49 -288 0
-279 -79 -6 0
284 -233 30 0
-77 36 -26 0
77 227 -258 0
-58 -149 -108 0
93 290 -234 0
-156 296 195 0
-163 146 -155 0
-281 -99 -192 0
196 205 177 0
276 -15 105 0
-120 191 -160 0
-108 -181 47 0
-245 180 -212 0
-249 -290 -278 0
244 229 -281 0
94 102 211 0
230 80 -206 0
-16 155 232 0
-295 -97 137 0
68 -241 6 0
36 24 -87 0
257 85 140 0
27 62 97 0
-147 125 119 0
177 -84 129 0
-135 -261 248 0
-122 -71 -4 0
29 73 -242 0
-32 63 230 0
75 16 297 0
266 244 -190 0
-151 -83 129 0
-211 298 57 0
-162 -145 275 0
-164 -150 -192 0
-114 -233 44 0
10 -291 66 0
-184 -75 193 0
-231 -6 -158 0
138 -299 -118 0
-299 190 204 0
162 -196 58 0
22 -68 167 0
258 44 295 0
-18 87 287 0
-20 -276 197 0
-96 -275 56 0
-73 -16 274 0
268 263 -80 0
213 -83 182 0
173 -225 111 0
-154 -28 -83 0
186 134 -230 0
-137 -135 -64 0
256 -250 -75 0
-75 55 202 0
-56 -93 -254 0
125 79 -39 0
50 -168 -198 0
115 -31 135 0
-239 21 -203 0
261 -257 -144 0
249 210 -262 0
124 271 -221 0
-60 269 -146 0
273 -104 130 0
-152 -58 220 0
-78 -65 38 0
-99 -50 201 0
290 -48 233 0
5 64 262 0
123 129 238 0
178 -185 -79 0
-226 -175 174 0
-263 -169 216 0
-90 -291 -133 0
135 -230 242 0
-134 -173 -227 0
-69 -283 -10 0
-80 -107 -282 0
-115 131 -19 0
55 126 -82 0
-25 -231 5 0
-266 -243 240 0
144 15 -5 0
-212 237 -49 0
-225 -206 -155 0
-219 167 -199 0
-23 -114 -26 0
-187 147 -298 0
56 -43 207 0
201 -225 -282 0
-68 15 -35 0
250 -158 234 0
-6 162 114 0
236 -183 81 0
-127 76 -97 0
-2 -276 237 0
43 217 -127 0
-94 -219 -299 0
280 -292 -261 0
247 100 -65 0
286 207 16 0
-44 -296 26 0
300 -271 -225 0
-19 144 -61 0
-27 -127 -130 0
200 -13 208 0
45 -148 289 0
-1 82 -211 0
233 -208 268 0
225 91 -235 0
-271 151 65 0
7 -235 215 0
223 -84 22 0
-253 294 72 0
71 216 256 0
-300 -259 -70 0
-238 -255 -275 0
-260 -138 -117 0
285 -151 226 0
210 56 -147 0
184 272 54 0
-8 -81 121 0
185 91 128 0
-179 86 206 0
259 96 -271 0
-35 -300 253 0
96 -49 -51 0
-202 -190 201 0
-131 -263 -235 0
-139 169 -257 0
180 -191 147 0
13 149 50 0
83 63 -128 0
187 -122 179 0
-280 -200 73 0
-28 -165 -66 0
241 279 -83 0
-213 270 192 0
-89 291 143 0
-84 -99 139 0
283 -86 -210 0
189 -92 -31 0
171 150 -50 0
24 175 136 0
140 -205 -71 0
202 177 231 0
102 -136 -162 0
242 -181 -238 0
-242 -172 194 0
190 -195 -72 0
-276 -195 -122 0
195 96 41 0
-183 -250 -274 0
20 -271 280 0
-26 28 238 0
294 -244 175 0
157 -162 -173 0
146 19 160 0
-86 142 288 0
174 216 96 0
-195 257 -35 0
-136 188 71 0
-129 108 -11 0
260 166 208 0
-130 -266 -203 0
270 279 -63 0
104 -269 -107 0
-244 40 222 0
-287 -179 -27 0
89 161 -183 0
107 218 280 0
-3 61 50 0
-128 -102 -59 0
203 -3 227 0
-194 -143 132 0
-176 -228 128 0
14 -160 46 0
287 281 -272 0
228 61 73 0
154 171 246 0
-217 31 -102 0
231 -236 -136 0
-218 75 -229 0
-7 -267 -297 0
245 -248 -62 0
-224 223 -143 0
148 -88 145 0
235 195 -132 0
60 -220 15 0
9 -182 297 0
133 -243 -232 0
17 -97 -52 0
-83 -266 24 0
298 -108 174 0
113 -95 74 0
78 46 37 0
42 -224 -89 0
-12 87 190 0
-119 -76 215 0
-46 132 -214 0
32 -289 -231 0
-250 -140 -243 0
48 -115 -295 0
-121 -80 205 0
-21 182 133 0
277 -201 36 0
40 91 -201 0
-116 300 -156 0
128 -150 135 0
188 67 239 0
168 213 70 0
-105 -217 -14 0
120 272 228 0
-272 -123 70 0
131 197 133 0
229 8 137 0
-277 153 -248 0
-9 78 -182 0
84 -211 -203 0
19 -64 187 0
-15 -246 -190 0
-200 71 -247 0
-146 -121 135 0
253 1 23 0
101 136 169 0
193 17 -188 0
155 130 -39 0
-153 -140 52 0
141 -239 -131 0
-298 -202 154 0
182 -267 86 0
-227 234 -220 0
-160 251 -81 0
262 242 -288 0
-47 -294 -138 0
170 264 17 0
-117 201 31 0
85 27 63 0
219 -180 25 0
292 -22 222 0
175 49 -55 0
251 -129 87 0
21 -70 -125 0
265 -21 -23 0
122 -12 -101 0
269 -51 104 0
6 -85 -10 0
-57 88 299 0
297 -14 283 0
109 -256 -204 0
-81 255 47 0
46 -116 34 0
-286 -142 -256 0
98 -171 -254 0
-41 -20 72 0
63 -218 -138 0
-79 -5 84 0
-177 -117 -51 0
-30 -263 -46 0
234 260 120 0
37 -178 138 0
-33 159 277 0
8 160 -140 0
239 -147 124 0
70 -277 -217 0
-95 248 88 0
-112 230 200 0
176 235 -194 0
-155 -230 -187 0
-201 -126 -82 0
-178 -290 191 0
4 -193 -96 0
-275 299 175 0
-170 -112 4 0
112 -154 -98 0
151 9 -259 0
237 35 -186 0
192 -293 63 0
100 -149 -72 0
-220 249 294 0
-126 9 -151 0
-289 252 122 0
62 -280 144 0
118 -197 -24 0
214 280 14 0
-192 273 -74 0
-181 284 190 0
79 -152 216 0
-74 -81 22 0
179 -56 -264 0
-5 -207 -37 0
254 -7 -126 0
226 -187 -184 0
-132 -279 187 0
243 -77 64 0
222 -130 -9 0
-110 69 149 0
198 -101 130 0
-197 52 102 0
-39 -162 -28 0
-123 -175 -119 0
275 110 -252 0
-284 74 284 0
-221 -24 260 0
-11 274 -284 0
166 97 -95 0
59 -62 -46 0
121 128 -64 0
116 -42 -54 0
-140 -194 46 0
-102 -264 95 0
52 121 -223 0
153 241 281 0
156 117 212 0
-248 185 178 0
143 287 80 0
-67 -210 286 0
-199 188 -166 0
-10 -219 -133 0
-204 -245 8 0
-222 123 243 0
-63 104 106 0
-283 118 -256 0
-125 -138 -17 0
2 143 171 0
163 -38 -33 0
-71 54 -80 0
92 18 -234 0
288 210 -191 0
65 -160 -36 0
-62 247 261 0
18 -98 12 0
281 224 291 0
-133 -53 -52 0
215 132 18 0
106 163 179 0
183 -214 150 0
-22 -124 -105 0
-157 -7 239 0
-24 -171 -296 0
274 -199 92 0
-269 138 81 0
-144 -68 -136 0
-98 -222 -257 0
58 219 -40 0
172 -240 -212 0
31 61 299 0
126 98 18 0
-100 -251 151 0
161 -292 28 0
103 -79 -50 0
-158 192 -12 0
206 155 294 0
-50 141 238 0
-216 -154 -58 0
130 48 -219 0
197 -48 280 0
-43 -208 -184 0
-291 119 118 0
-274 -30 -109 0
-17 -220 -121 0
-166 233 -192 0
86 -193 -155 0
-76 -107 155 0
-209 70 223 0
136 52 113 0
204 -163 296 0
-257 -74 -45 0
-193 194 -294 0
218 78 -231 0
-87 -45 -25 0
111 143 -198 0
23 -88 -218 0
211 -172 134 0
-106 -228 102 0
289 255 141 0
-255 160 213 0
-207 197 -137 0
-165 -46 16 0
267 -2 -175 0
-49 129 218 0
35 -120 117 0
-196 101 -20 0
33 212 -251 0
181 18 245 0
-124 -85 -237 0
-42 -27 -209 0
296 243 196 0
-53 39 -25 0
-246 121 26 0
99 -8 -106 0
272 254 -99 0
12 95 124 0
-282 137 -279 0
-273 -59 -21 0
-167 -285 21 0
-180 -13 -68 0
-101 -27 -281 0
217 10 -223 0
-107 94 -112 0
119 -177 276 0
-205 30 176 0
150 106 -45 0
127 -270 -263 0
279 113 79 0
110 -152 -196 0
67 112 -265 0
-174 7 -134 0
-109 111 -65 0
278 -5 -291 0
80 -207 193 0
282 158 -91 0
240 -124 220 0
-182 215 258 0
221 -284 272 0
-173 167 285 0
-59 -258 -180 0
169 198 223 0
299 290 -185 0
-150 275 24 0
-297 164 19 0
-92 -253 -287 0
38 295 192 0
167 10 -69 0
57 194 247 0
-262 213 259 0
74 -215 244 0
238 157 -242 0
-168 211 -181 0
-72 186 -209 0
-171 150 40 0
-223 162 45 0
-142 277 -118 0
134 -127 282 0
-66 240 -93 0
-241 65 115 0
252 -156 -119 0
-190 298 -43 0
-149 -185 295 0
264 -93 -106 0
53 -238 251 0
-243 -123 -172 0
82 250 6 0
207 -265 166 0
26 -27 -300 0
-13 -197 -23 0
-208 -134 -1 0
34 177 220 0
-288 200 -132 0
-111 -87 -11 0
-267 172 157 0
-40 184 244 0
105 267 -62 0
39 133 137 0
-161 -155 -3 0
-264 -18 67 0
54 3 168 0
-148 -178 4 0
-259 269 -22 0
1 270 -84 0
-88 -100 -209 0
-230 274 -109 0
-175 -141 207 0
-252 -61 146 0
220 26 -241 0
-51 110 158 0
-198 170 11 0
-55 -142 -297 0
81 83 289 0
246 -69 125 0
-65 -147 -8 0
-240 -96 -299 0
-206 225 224 0
16 284 -225 0
-113 164 120 0
72 70 292 0
76 -121 -292 0
-14 -125 94 0
-52 67 -54 0
224 282 -92 0
90 2 -34 0
-189 -122 -162 0
216 -161 -142 0
91 -268 -292 0
-285 11 -268 0
152 -275 115 0
-45 -163 85 0
-141 -227 2 0
-290 20 -153 0
25 -226 249 0
-82 122 42 0
271 165 -121 0
-232 269 -165 0
263 278 -67 0
-54 -146 -73 0
66 4 -224 0
293 27 -183 0
-278 203 -13 0
199 -69 235 0
132 -251 -177 0
-229 -82 -152 0
-237 -70 -205 0
-265 -282 124 0
-70 195 90 0
158 -109 -90 0
-138 -266 -144 0
3 -37 258 0
97 -297 -29 0
87 -197 164 0
-64 281 -104 0
-91 -40 -282 0
95 -36 -9 0
-292 -61 -168 0
145 -237 -252 0
-261 81 203 0
-61 -288 -34 0
165 -96 -38 0
-172 -188 -163 0
-48 -4 -174 0
205 48 126 0
-36 273 -11 0
-293 31 180 0
137 234 159 0
-203 -187 257 0
-214 -95 25 0
-191 -246 40 0
227 -270 -186 0
108 -287 148 0
-235 34 206 0
-233 93 -254 0
248 -125 199 0
11 165 288 0
64 145 212 0
73 263 206 0
-159 62 135 0
-268 -28 93 0
-93 5 -75 0
-186 182 -280 0
-256 -183 -247 0
-296 179 60 0
-38 -216 75 0
159 -46 152 0
232 221 -298 0
164 196 -285 0
191 -55 161 0
149 283 82 0
44 -35 55 0
-143 -286 32 0
-37 -118 31 0
-228 -42 25 0
-104 109 28 0
-85 -171 -239 0
-31 245 -157 0
-145 -256 284 0
-34 265 -177 0
88 8 271 0
61 -19 -74 0
30 -107 62 0
295 241 214 0
-251 -57 -281 0
41 264 -59 0
15 -57 77 0
117 36 291 0
-4 90 -128 0
47 168 -7 0
-236 -34 273 0
142 203 32 0
208 -21 -40 0
194 77 -171 0
51 -151 -78 0
-29 298 -201 0
209 173 -139 0
-270 -31 -76 0
-97 -191 227 0
-103 184 -242 0
147 53 -76 0
-247 -7 -87 0
139 97 153 0
-258 -232 -196 0
-169 -215 -300 0
-294 107 -110 0
49 78 -113 0
114 -18 292 0
291 -71 123 0
160 -176 -108 0
69 84 34 0
-254 -212 114 0
-118 275 -42 0
-215 2 47 0
-234 -104 60 0
-210 -272 101 0
28 -243 99 0
129 -204 -43 0
255 286 12 0
212 -82 173 0
-188 200 72 0
-185 -63 -127 0
-279 265 61 0
284 -253 57 0
-77 -100 183 0
77 39 181 0
-58 -198 -156 0
93 173 13 0
-156 -73 110 0
-163 268 52 0
-281 -129 -93 0
196 140 99 0
276 226 -30 0
-120 112 -37 0
-108 83 -70 0
-245 254 300 0
-249 -49 163 0
244 290 -200 0
94 42 -115 0
230 3 -63 0
-16 -114 -6 0
-295 293 -275 0
68 -26 142 0
36 -187 -174 0
257 92 -60 0
27 124 -198 0
-147 -174 -17 0
177 -157 234 0
-135 -136 123 0
-122 -57 78 0
29 43 189 0
-32 11 -129 0
75 -26 252 0
266 -283 -78 0
-151 251 3 0
-211 43 256 0
-162 122 -96 0
-164 218 -232 0
-114 -61 199 0
10 -213 34 0
-184 32 91 0
-231 51 -280 0
138 96 10 0
-299 154 -234 0
162 -273 -261 0
22 -167 103 0
258 79 109 0
-18 77 85 0
-20 -249 224 0
-96 295 -259 0
-73 193 -166 0
268 -159 -295 0
213 -5 254 0
173 236 -17 0
-154 -231 271 0
186 -140 -137 0
-137 205 297 0
256 191 -4 0
-75 192 152 0
-56 123 -298 0
125 21 -150 0
50 116 -244 0
115 -25 -21 0
-239 14 -284 0
261 92 -252 0
249 90 -153 0
124 6 24 0
-60 -268 127 0
273 -170 236 0
-152 59 -262 0
-78 289 -227 0
-99 -154 -123 0
290 -286 41 0
5 -60 -248 0
123 -32 -134 0
178 252 67 0
-226 -77 -253 0
-263 -145 66 0
-90 1 -266 0
135 -139 -204 0
-134 100 -207 0
-69 -110 153 0
-80 -2 -81 0
-115 -153 -202 0
55 271 278 0
-25 -166 -222 0
-266 -206 42 0
144 58 204 0
-212 226 -172 0
-225 -289 246 0
-219 -76 -135 0
-23 -170 -15 0
-187 -165 -116 0
56 -164 -264 0
201 247 -250 0
-68 158 -179 0
250 -285 242 0
-6 -137 184 0
236 253 241 0
-127 -120 -85 0
-2 -241 -148 0
43 260 93 0
-94 232 -273 0
280 210 202 0
247 248 -53 0
286 -278 -169 0
-44 -55 39 0
300 -158 293 0
-19 -135 -15 0
-27 144 -89 0
200 -10 -280 0
45 120 -179 0
-1 185 -193 0
233 -255 -167 0
225 297 -255 0
-271 -254 -195 0
7 -144 17 0
223 256 58 0
-253 -86 -207 0
71 -240 196 0
-300 -23 -260 0
-238 -293 111 0
-260 -228 112 0
285 263 -249 0
210 -143 208 0
184 49 -274 0
-8 57 1 0
185 -133 109 0
-179 -276 127 0
259 155 -1 0
-35 51 -55 0
96 49 248 0
-202 181 -150 0
-131 -94 -126 0
-139 -132 29 0
180 -9 149 0
13 -194 -189 0
83 -66 246 0
187 -117 293 0
-280 -189 -294 0
-28 -8 20 0
241 -119 -30 0
-213 17 35 0
-89 21 -6 0
-84 143 -159 0
283 167 132 0
189 -229 -164 0
171 76 -145 0
24 -128 98 0
140 -19 -215 0
202 16 148 0
102 -234 86 0
242 28 -189 0
-242 225 27 0
190 -173 -260 0
-276 183 176 0
195 -47 -145 0
-183 -239 -28 0
20 -213 273 0
-26 221 -161 0
294 -260 -71 0
157 300 258 0
146 130 286 0
-86 -58 106 0
