c degrees:  6 
c girth: 8 max: 6.822736  
c desired: 1200
167 -245 60 0
-107 -245 112 0
284 -19 -28 0
95 -200 -5 0
-184 -113 270 0
274 121 -51 0
23 219 102 0
279 -253 207 0
145 -218 -57 0
220 -26 -53 0
-39 -5 -63 0
245 -283 -107 0
277 300 -232 0
115 173 10 0
3 -206 -172 0
-123 -193 271 0
7 290 -210 0
163 -197 185 0
68 -299 269 0
229 192 193 0
176 -55 95 0
14 266 66 0
197 102 1 0
-63 -12 10 0
-87 -82 -262 0
-221 27 143 0
-171 -87 125 0
-186 -133 29 0
201 -65 65 0
114 124 -258 0
296 -117 243 0
122 112 -215 0
-244 -156 156 0
-43 80 79 0
-28 156 119 0
297 240 159 0
16 95 -78 0
11 230 261 0
-183 -46 96 0
-273 -107 126 0
-83 -42 -246 0
-51 199 152 0
195 263 30 0
113 -264 234 0
-7 -197 272 0
-181 -49 -184 0
268 -140 271 0
-61 -241 -110 0
140 -54 296 0
38 -240 -169 0
74 28 -87 0
63 -188 -161 0
-60 -91 -257 0
165 -269 -14 0
-58 234 13 0
-202 250 -43 0
8 -249 -168 0
189 184 -116 0
71 191 -123 0
-146 45 34 0
-299 158 -21 0
-139 294 60 0
27 -141 -300 0
-194 -17 -201 0
-40 129 106 0
-46 228 -188 0
-130 -1 288 0
-227 256 169 0
-255 -104 -59 0
-292 -290 -9 0
-271 114 109 0
-251 -88 -174 0
-120 226 237 0
290 135 209 0
171 -223 -224 0
-109 -204 -113 0
-265 -230 -206 0
-222 118 -151 0
-144 240 -160 0
-62 -287 218 0
172 227 144 0
-52 50 -14 0
-238 -217 110 0
188 274 298 0
-256 2 -116 0
46 115 -269 0
110 -158 266 0
246 174 200 0
-26 -62 129 0
127 40 118 0
-283 233 -30 0
45 266 -179 0
285 210 -89 0
-274 -196 116 0
44 -250 87 0
254 282 16 0
175 -216 -165 0
119 34 -298 0
-193 -165 249 0
-213 -129 -106 0
-211 -283 -195 0
-45 -137 154 0
280 -174 -279 0
-253 260 -119 0
-44 -33 -2 0
240 38 132 0
123 -79 245 0
-81 -236 -15 0
-116 -230 18 0
9 -101 156 0
-41 -48 89 0
221 -210 165 0
57 -238 164 0
-136 13 164 0
118 44 33 0
-127 41 -234 0
-71 24 257 0
-17 271 -157 0
-147 -233 -102 0
-201 206 253 0
112 -142 -36 0
-267 -61 -162 0
-90 135 208 0
80 6 239 0
261 55 155 0
120 -254 176 0
-48 143 292 0
207 167 136 0
-192 117 259 0
17 -281 -131 0
-288 223 265 0
-133 -203 -170 0
183 -247 -260 0
117 -18 -71 0
70 -175 191 0
-15 -52 33 0
134 297 276 0
149 181 71 0
-287 10 12 0
298 -6 -124 0
196 176 -255 0
-284 272 -34 0
-68 215 -274 0
184 14 -211 0
94 231 -139 0
-294 227 97 0
-249 172 -10 0
-191 145 -254 0
97 -296 200 0
-195 213 80 0
130 258 163 0
62 95 -247 0
154 -282 56 0
-185 -279 78 0
-164 -273 -147 0
-216 -285 262 0
-54 -158 167 0
84 -63 -109 0
52 220 85 0
131 -181 265 0
-295 -191 -148 0
-49 140 91 0
-300 -112 52 0
139 273 1 0
238 -53 63 0
-12 160 141 0
257 11 -131 0
288 -277 153 0
219 218 -223 0
6 8 209 0
243 -205 -98 0
209 245 -291 0
-277 -81 285 0
-137 -154 26 0
-200 247 -181 0
-236 208 -226 0
150 -221 -272 0
282 -28 98 0
170 -280 273 0
106 -7 -256 0
-276 -224 35 0
-167 179 -270 0
191 -219 -242 0
236 86 62 0
208 218 -59 0
-65 97 180 0
-10 -220 -214 0
234 -123 -166 0
147 177 -259 0
91 -166 -275 0
-197 238 270 0
49 216 -283 0
-163 -228 125 0
-233 -94 9 0
99 -206 294 0
182 -57 15 0
-156 142 -235 0
251 113 -138 0
-135 92 283 0
-108 -203 36 0
203 -253 -75 0
162 -248 -126 0
93 4 -199 0
289 9 -3 0
178 -150 103 0
151 206 -4 0
292 260 133 0
-217 -55 -56 0
266 3 75 0
-166 9 106 0
258 -145 8 0
-178 -84 -272 0
36 -276 -129 0
205 27 -211 0
54 275 -103 0
-21 -244 -211 0
200 224 -70 0
86 -256 -134 0
157 -58 -56 0
2 216 144 0
-297 168 -171 0
-119 131 -268 0
-114 -293 -157 0
144 68 272 0
75 235 279 0
50 -211 283 0
206 44 -39 0
180 -138 -179 0
-158 195 -53 0
77 201 19 0
-234 184 146 0
-38 -171 170 0
-84 -202 -48 0
-224 300 26 0
33 237 -299 0
-100 107 -297 0
214 276 -70 0
179 125 -125 0
-64 -264 176 0
-99 -183 -218 0
-223 -162 -237 0
-245 -113 274 0
156 264 -33 0
-157 144 261 0
-190 203 227 0
-98 236 -217 0
-188 10 -124 0
-241 -25 224 0
109 -156 280 0
-290 91 -293 0
-91 -270 129 0
198 -82 212 0
-239 114 161 0
65 -196 185 0
259 -103 232 0
-159 298 -178 0
-230 -189 206 0
276 -71 192 0
-264 -160 54 0
169 -44 158 0
-266 -173 -222 0
218 -285 81 0
-199 -289 -207 0
-168 189 49 0
193 190 -261 0
-250 165 -176 0
1 52 189 0
-207 -244 166 0
-50 -269 247 0
244 -230 -132 0
265 5 -116 0
291 -288 -122 0
233 -94 -18 0
-270 -297 143 0
83 246 -205 0
-218 187 255 0
-111 -69 -194 0
-72 -218 238 0
10 -103 258 0
174 36 281 0
34 -120 244 0
148 297 -230 0
242 -56 -248 0
-73 -86 -143 0
-104 286 -252 0
-3 226 7 0
300 -152 209 0
22 280 -69 0
-27 196 -96 0
40 18 284 0
88 136 86 0
239 201 187 0
-204 19 54 0
-258 229 181 0
173 -142 214 0
-93 72 -147 0
-102 -257 -281 0
-18 -11 -159 0
60 -256 -163 0
96 262 157 0
121 -136 7 0
-59 148 -240 0
-282 -275 108 0
-9 292 -57 0
-94 99 230 0
226 -104 -115 0
-77 137 -143 0
102 275 -181 0
126 -37 243 0
253 -120 43 0
-155 122 1 0
-225 -203 -233 0
194 159 -164 0
202 60 -64 0
-232 254 -209 0
55 141 -84 0
-141 178 153 0
25 167 74 0
-226 288 -266 0
-149 31 -140 0
-145 -127 38 0
-96 -48 22 0
-56 200 -95 0
260 -3 178 0
-289 -294 -103 0
215 76 50 0
-208 40 197 0
43 -175 -265 0
146 222 -294 0
250 -166 -271 0
35 241 195 0
-212 -259 -154 0
100 -152 237 0
-30 241 104 0
116 -288 298 0
143 63 -275 0
-143 -195 -65 0
48 269 -284 0
-34 225 -85 0
-148 -50 -266 0
26 138 -44 0
85 225 56 0
31 150 -158 0
-86 -72 -257 0
-235 131 -247 0
256 -92 -13 0
199 -39 -198 0
278 -266 -228 0
-2 242 226 0
51 26 -100 0
13 248 247 0
104 -253 5 0
-55 -11 80 0
-177 -4 106 0
228 84 106 0
-6 -237 -95 0
-298 -237 -8 0
192 -112 25 0
47 222 -88 0
-173 -213 -238 0
135 -286 210 0
133 -197 118 0
37 202 193 0
81 -129 54 0
-1 155 256 0
41 248 -11 0
-187 -9 177 0
-198 -90 -151 0
98 -147 -100 0
-42 137 154 0
39 59 -299 0
12 52 -38 0
142 -73 -120 0
-153 -252 -136 0
132 -205 173 0
-103 87 56 0
155 -187 -105 0
204 47 285 0
-88 5 108 0
-140 -55 -90 0
69 -155 -195 0
-231 150 -164 0
-254 190 -41 0
-269 -217 -118 0
247 233 183 0
295 -204 149 0
28 -148 184 0
-215 147 21 0
-196 267 -42 0
-29 132 64 0
-32 166 90 0
255 69 88 0
-128 -54 -106 0
217 195 176 0
-67 -242 -97 0
42 -146 1 0
-101 -153 -258 0
-95 -51 -35 0
-122 -223 145 0
237 223 138 0
-229 -75 -169 0
73 -134 98 0
-75 -132 145 0
-36 -149 230 0
-272 121 -257 0
-219 -122 104 0
138 289 32 0
-154 211 -77 0
-105 77 -199 0
67 162 -25 0
168 -231 -10 0
79 144 134 0
158 64 277 0
59 -49 262 0
-106 41 286 0
105 -76 -68 0
-150 13 231 0
-23 19 296 0
-205 244 229 0
-132 -43 124 0
125 -286 -122 0
-117 -10 160 0
-170 249 -61 0
-175 186 84 0
-22 -254 96 0
66 -169 -221 0
82 -227 43 0
-237 163 -79 0
-89 96 202 0
72 -251 -52 0
187 140 233 0
-85 -132 256 0
-242 299 -249 0
248 -191 4 0
-13 -67 -243 0
64 222 255 0
225 151 -210 0
-118 -199 -146 0
-33 2 -279 0
-53 94 -274 0
-280 -248 -24 0
-76 -201 174 0
-176 289 -246 0
-4 -72 117 0
177 216 234 0
129 105 122 0
-278 -225 -119 0
92 -29 -129 0
281 158 177 0
212 -167 65 0
-78 -194 -141 0
264 63 99 0
-129 -272 291 0
-172 -186 -66 0
166 277 -58 0
4 -151 60 0
210 207 -4 0
89 -18 -17 0
-70 -274 -93 0
-24 213 110 0
21 -2 -212 0
232 -208 94 0
-11 -289 84 0
-134 -47 35 0
-296 -117 76 0
-228 -31 208 0
-112 75 172 0
-261 257 166 0
-97 159 -87 0
-180 123 217 0
-206 -282 -108 0
-151 -136 154 0
90 -109 -197 0
58 20 -21 0
-57 273 282 0
-246 201 265 0
-268 108 -64 0
152 12 -169 0
-263 217 -136 0
153 148 -242 0
227 -225 22 0
-240 -232 -264 0
-113 -173 220 0
299 -186 48 0
-20 -171 69 0
-179 128 -6 0
-92 135 -192 0
270 -144 -216 0
222 245 271 0
5 21 -287 0
249 -67 233 0
286 -10 -196 0
-182 78 -227 0
-286 38 -267 0
18 283 -57 0
-259 57 285 0
-279 71 120 0
-203 -280 245 0
287 -3 128 0
-126 221 169 0
181 73 29 0
-19 -157 -99 0
-161 80 -154 0
-115 88 163 0
-125 -221 -43 0
-189 258 -157 0
56 -116 37 0
283 -86 77 0
186 -45 -162 0
-142 170 -50 0
271 77 59 0
124 -224 -91 0
-210 138 -60 0
-35 42 -82 0
-162 -292 73 0
103 65 -168 0
-5 -282 116 0
-121 88 -40 0
-80 137 -139 0
252 -26 -73 0
-110 -240 160 0
231 109 -94 0
224 -74 103 0
-25 -99 69 0
128 255 216 0
273 132 -81 0
101 -30 -295 0
-260 58 -92 0
-79 -214 194 0
136 -184 177 0
263 -124 203 0
32 -259 24 0
61 228 -285 0
241 259 -140 0
213 -19 199 0
-247 -265 53 0
-285 -260 220 0
-66 -20 179 0
159 53 278 0
141 299 -215 0
-124 -195 131 0
267 -198 258 0
269 189 120 0
-281 90 -153 0
76 -32 68 0
53 -281 162 0
-74 108 263 0
-293 7 157 0
-220 -20 97 0
87 104 262 0
-243 -60 -7 0
-37 -167 -97 0
-8 -138 -15 0
-138 -225 101 0
-248 -67 -166 0
160 146 183 0
275 -51 -193 0
29 93 -273 0
-257 111 -227 0
185 -40 -36 0
107 180 -139 0
-291 101 114 0
-69 -177 130 0
78 74 -231 0
137 32 45 0
-152 173 279 0
190 72 163 0
211 292 115 0
235 185 -175 0
262 -12 119 0
-209 -245 -70 0
294 -226 -192 0
293 -300 55 0
-160 252 191 0
216 35 -48 0
20 -35 -38 0
-214 29 285 0
-31 -145 -74 0
161 155 -236 0
-252 288 152 0
111 58 6 0
230 126 -32 0
164 -68 61 0
24 62 156 0
-14 -228 122 0
15 279 -32 0
19 119 -11 0
272 -2 148 0
-82 -27 107 0
-165 -220 278 0
108 -260 174 0
-262 232 295 0
-16 234 53 0
-174 -115 49 0
223 296 -190 0
-131 187 151 0
-169 -247 -72 0
30 113 -12 0
-47 -37 17 0
-275 160 -192 0
167 -1 185 0
-107 -76 -239 0
284 242 291 0
95 -170 201 0
-184 282 -30 0
274 -118 147 0
23 -52 -187 0
279 217 253 0
145 -161 249 0
220 -82 50 0
-39 -295 -37 0
245 -266 -137 0
277 -98 42 0
115 58 -185 0
3 188 -187 0
-123 243 290 0
7 -161 3 0
163 -154 -234 0
68 -162 -251 0
229 -58 -235 0
176 -296 -271 0
14 -100 -291 0
197 -288 -16 0
-63 -75 276 0
-87 -34 142 0
-221 103 -80 0
-171 -18 100 0
-186 -287 138 0
201 87 136 0
114 284 -90 0
296 -17 -236 0
122 -123 -244 0
-244 -267 -295 0
-43 281 16 0
-28 247 210 0
297 100 -288 0
16 34 -51 0
11 88 293 0
-183 256 -228 0
-273 39 206 0
-83 -224 260 0
-51 193 -117 0
195 -107 158 0
113 214 140 0
-7 -168 74 0
-181 -37 272 0
268 -278 -104 0
-61 107 -183 0
140 -208 -239 0
38 -222 -22 0
74 101 3 0
63 -38 -147 0
-60 23 -41 0
165 -66 -117 0
-58 152 211 0
-202 139 -74 0
8 -59 -213 0
189 67 -178 0
71 102 -106 0
-146 -261 232 0
-299 -243 81 0
-139 -98 -28 0
27 -180 -290 0
-194 -60 -196 0
-40 140 -112 0
-46 -294 150 0
-130 175 40 0
-227 275 -76 0
-255 264 -14 0
-292 -291 -72 0
-271 -284 188 0
-251 -177 19 0
-120 -90 -66 0
290 198 -83 0
171 250 -52 0
-109 -13 -296 0
-265 268 -284 0
-222 -164 250 0
-144 57 244 0
-62 -20 -130 0
172 178 -5 0
-52 17 -240 0
-238 175 246 0
188 -223 -235 0
-256 -96 -258 0
46 -8 182 0
110 -127 121 0
246 -47 -114 0
-26 261 -295 0
127 99 115 0
-283 111 44 0
45 -209 -111 0
285 291 -27 0
-274 -59 93 0
44 71 -34 0
254 280 295 0
175 -163 -281 0
119 -280 224 0
-193 -71 -168 0
-213 -134 -99 0
-211 251 11 0
-45 120 -225 0
280 -7 -22 0
-253 -274 89 0
-44 -178 186 0
240 30 124 0
123 183 -146 0
-81 -39 221 0
-116 55 235 0
9 123 41 0
-41 -126 251 0
221 134 13 0
57 267 -215 0
-136 -15 28 0
118 198 231 0
-127 85 -177 0
-71 -104 -19 0
-17 -6 62 0
-147 208 164 0
-201 293 214 0
112 145 94 0
-267 211 86 0
-90 -32 -126 0
80 53 -42 0
261 124 93 0
120 -124 -134 0
-48 -89 105 0
207 34 111 0
-192 -254 -150 0
17 169 213 0
-288 -126 -61 0
-133 152 -297 0
183 -85 -273 0
117 150 280 0
70 -60 -112 0
-15 -70 -46 0
134 122 300 0
149 283 -25 0
-287 133 149 0
298 8 -50 0
196 -88 -121 0
-284 -277 113 0
-68 192 267 0
184 -36 -9 0
94 -140 -29 0
-294 148 86 0
-249 -176 -62 0
-191 215 -246 0
97 173 -279 0
-195 -172 -241 0
130 -102 -276 0
62 -38 -172 0
154 287 -33 0
-185 250 172 0
-164 -44 267 0
-216 66 -282 0
-54 61 -280 0
84 188 -86 0
52 -46 -243 0
131 -132 287 0
-295 64 -204 0
-49 -189 -296 0
-300 -14 98 0
139 -251 -189 0
238 221 -193 0
-12 -286 -36 0
257 -190 179 0
288 -118 67 0
219 83 168 0
6 226 92 0
243 104 -137 0
209 -261 215 0
-277 63 41 0
-137 139 -20 0
-200 -236 -297 0
-236 -7 -142 0
150 -146 -109 0
282 6 -186 0
170 -83 -292 0
106 278 282 0
-276 -268 142 0
-167 134 99 0
191 -273 -290 0
236 -23 220 0
208 -69 92 0
-65 -158 -67 0
-10 -128 -207 0
234 253 125 0
147 -106 259 0
91 -91 -209 0
-197 294 82 0
49 277 168 0
-163 36 -141 0
-233 5 -218 0
99 -214 -251 0
182 -110 -200 0
-156 46 -220 0
251 217 181 0
-135 -293 -13 0
-108 77 -46 0
203 91 -66 0
162 -115 4 0
93 213 -80 0
289 141 181 0
178 239 240 0
151 -50 -276 0
292 78 212 0
-217 69 186 0
266 196 -204 0
-166 -144 257 0
258 -155 24 0
-178 238 -135 0
36 -89 -165 0
205 -130 -174 0
54 7 -77 0
-21 -83 -85 0
200 133 -272 0
86 91 51 0
157 15 171 0
2 -119 157 0
-297 -246 284 0
-119 -159 46 0
-114 252 -41 0
144 66 278 0
75 62 139 0
50 244 -249 0
206 94 289 0
180 263 -193 0
-158 -202 44 0
77 129 -92 0
-234 215 20 0
-38 18 222 0
-84 296 297 0
-224 190 -133 0
33 -238 202 0
-100 255 81 0
214 -137 284 0
179 -161 -175 0
-64 -24 243 0
-99 -262 -202 0
-223 297 254 0
-245 225 -167 0
156 168 33 0
-157 170 -182 0
-190 -127 229 0
-98 -216 204 0
-188 205 -292 0
-241 161 -278 0
109 75 -238 0
-290 -110 -156 0
-91 248 33 0
198 95 -40 0
-239 171 -148 0
65 -30 68 0
259 224 -144 0
-159 273 17 0
-230 -77 -245 0
276 -27 -130 0
-264 -270 47 0
169 -180 -54 0
-266 149 -114 0
218 214 178 0
-199 76 -138 0
-168 17 -122 0
193 127 -47 0
-250 84 287 0
1 -101 281 0
-207 -102 196 0
-50 137 -68 0
244 -239 -99 0
265 30 -213 0
291 166 3 0
233 67 38 0
-270 -3 73 0
83 165 -113 0
-218 -151 39 0
-111 -226 81 0
-72 242 79 0
10 -93 49 0
174 -94 -1 0
34 -178 -88 0
148 -35 -268 0
242 191 32 0
-73 -179 -101 0
-104 70 203 0
-3 197 -68 0
300 167 22 0
22 -213 -171 0
-27 -290 274 0
40 -44 -203 0
88 -135 -205 0
239 -98 72 0
-204 116 115 0
-258 118 48 0
173 51 -252 0
-93 31 221 0
-102 232 -284 0
-18 -298 184 0
60 -182 -250 0
96 230 42 0
121 -25 -40 0
-59 -231 -21 0
-282 -21 252 0
-9 227 -260 0
-94 236 -250 0
226 14 -262 0
-77 46 -163 0
102 -229 -172 0
126 51 -265 0
253 64 -19 0
-155 -185 -286 0
-225 -145 27 0
194 -210 -155 0
202 -155 -180 0
-232 32 -183 0
55 -128 -15 0
-141 -24 182 0
25 -233 -109 0
-226 182 -190 0
-149 -184 -84 0
-145 270 45 0
-96 219 187 0
-56 -299 123 0
260 126 -130 0
-289 -16 -200 0
215 169 -220 0
-208 22 -24 0
43 97 299 0
146 65 -293 0
250 -287 -167 0
35 249 164 0
-212 25 171 0
100 -111 -26 0
-30 293 193 0
116 171 -263 0
143 28 -114 0
-143 -255 147 0
48 -33 -183 0
-34 -108 -191 0
-148 259 29 0
26 200 -87 0
85 241 -153 0
31 -229 -45 0
-86 35 289 0
-235 47 165 0
256 133 70 0
199 -231 -265 0
278 231 -241 0
-2 -182 -190 0
51 -207 31 0
13 -143 16 0
104 -81 14 0
-55 127 52 0
-177 11 223 0
228 39 30 0
-6 -191 31 0
-298 -144 12 0
192 -111 -294 0
47 -164 6 0
-173 260 251 0
135 -300 274 0
133 -261 -110 0
37 43 83 0
81 -101 -278 0
-1 37 240 0
41 136 -239 0
-187 24 299 0
-198 180 175 0
98 -227 146 0
-42 228 -156 0
39 75 -16 0
12 194 -76 0
142 90 8 0
-153 -9 -95 0
132 -35 105 0
-103 -61 288 0
155 110 -285 0
204 -242 -83 0
-88 112 -47 0
-140 25 -188 0
69 209 82 0
-231 85 -248 0
-254 -97 -182 0
-269 -108 223 0
247 -29 -256 0
