1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
59 56 53 54 56 60 53 53 58 61 60 61 62 57 62 58 59 60 62 55 
57 51 54 53 53 55 52 52 56 54 56 61 59 56 61 58 57 56 60 50 
57 53 53 54 56 62 55 54 56 62 61 63 65 58 62 58 57 63 65 56 
58 56 54 54 54 61 54 54 56 61 57 61 62 56 61 58 61 60 64 56 
58 55 53 52 54 58 51 54 58 60 56 62 62 56 60 59 60 59 63 58 
58 57 54 54 57 59 55 54 58 59 61 62 65 58 61 60 60 60 66 60 
57 54 53 53 54 60 54 52 56 58 56 62 62 56 60 58 57 62 65 56 
59 53 55 53 54 58 53 52 56 61 61 63 60 58 58 60 59 62 65 57 
59 56 55 54 54 60 54 53 57 59 58 62 61 58 59 58 59 63 65 55 
59 51 55 53 53 59 50 52 56 54 55 62 57 58 58 59 57 60 60 52 
58 54 55 54 53 57 51 54 58 59 58 62 58 57 59 59 57 59 61 53 
57 50 53 53 50 58 53 53 56 54 57 63 60 58 58 58 55 59 61 52 
57 51 55 52 50 55 50 52 57 57 58 62 57 58 60 58 57 56 60 50 
57 52 53 52 50 57 53 53 57 54 55 61 57 56 61 58 56 56 60 54 
58 58 55 54 56 63 56 52 58 62 61 63 65 58 62 60 61 64 64 60 
58 56 55 54 54 62 56 54 58 62 61 63 62 56 62 60 60 63 64 60 
57 55 53 52 57 58 55 54 56 60 60 62 62 58 61 60 60 61 66 58 
59 52 55 53 53 59 52 54 56 55 59 61 59 58 61 58 55 60 63 53 
59 56 53 54 56 60 54 52 57 61 60 61 63 56 62 58 61 62 62 57 
57 51 53 53 54 59 50 53 58 56 57 61 60 56 60 58 56 61 62 54 
57 51 55 53 55 59 54 53 57 59 55 63 57 56 61 59 55 61 60 55 
57 50 55 53 51 57 52 54 56 58 59 63 62 57 58 60 56 58 63 53 
57 48 53 52 51 58 53 53 57 57 55 61 58 56 58 58 58 56 61 53 
59 55 54 52 57 61 53 53 56 62 58 61 64 58 60 60 61 63 66 56 
57 51 53 54 51 56 54 54 58 58 55 61 60 56 60 60 56 59 64 54 
57 54 53 53 55 56 54 54 58 59 57 61 58 56 62 58 57 58 63 53 
57 52 54 52 52 59 53 52 58 59 57 63 61 58 61 59 60 61 63 54 
57 54 54 52 54 61 52 54 56 56 60 62 60 58 59 60 56 61 62 56 
57 52 55 53 55 57 51 54 58 59 59 61 58 56 59 58 57 60 61 53 
57 51 55 53 54 59 52 53 57 58 57 62 59 58 58 60 55 57 60 54 
58 50 54 54 51 58 53 54 56 56 57 61 60 57 59 60 59 60 62 51 
58 54 53 54 55 61 55 53 58 62 59 63 63 57 60 60 61 63 62 56 
57 48 55 52 50 57 52 52 56 56 57 61 58 56 58 58 55 57 62 50 
59 51 55 54 53 61 51 52 56 60 60 62 60 56 59 60 59 60 61 54 
59 49 53 52 51 58 51 52 58 55 56 63 59 56 58 58 57 58 61 51 
57 51 55 53 51 58 52 54 56 54 57 61 56 56 59 58 55 59 61 53 
59 58 55 52 58 61 55 52 58 61 60 61 64 58 61 59 61 64 65 60 
59 54 55 54 52 57 54 54 56 56 58 62 62 58 60 58 58 61 63 55 
57 54 53 54 55 59 54 54 56 58 58 63 64 58 58 58 56 61 63 56 
59 54 53 54 56 61 53 52 57 61 58 61 66 56 59 60 58 64 66 56 
59 55 55 54 58 63 53 54 57 62 61 62 66 57 60 60 61 61 66 60 
58 53 53 52 54 63 56 53 58 61 61 61 61 58 61 58 59 60 65 59 
59 58 53 54 57 63 55 52 58 61 58 63 62 58 62 60 59 62 63 59 
57 58 54 54 55 61 55 54 58 62 60 61 63 58 59 60 61 60 63 59 
57 52 53 52 53 58 52 53 56 55 58 63 60 57 59 60 59 61 62 55 
59 54 53 52 53 56 52 54 56 57 60 63 62 56 61 58 56 58 65 56 
59 51 54 52 52 58 51 54 56 56 60 63 61 56 60 59 58 61 63 53 
59 55 53 54 55 61 52 53 56 59 60 63 63 57 61 58 58 58 63 56 
57 51 55 54 51 59 53 52 56 59 58 61 59 58 62 58 56 59 64 54 
59 53 55 52 54 57 50 53 58 59 59 63 57 56 59 58 56 57 62 53 
59 55 53 52 58 63 52 53 58 58 59 61 64 58 61 58 61 62 64 57 
57 48 53 52 51 56 50 52 56 54 55 61 56 56 59 58 57 57 60 50 
59 53 53 53 55 62 55 52 58 58 60 61 60 57 58 60 56 60 62 58 
59 53 55 53 51 58 52 52 57 57 56 63 57 56 61 59 55 58 62 55 
57 52 54 52 51 56 53 52 57 58 57 61 58 57 60 58 59 57 62 52 
57 52 55 54 53 62 54 54 58 60 56 61 60 56 61 58 60 62 61 57 
59 57 53 52 56 62 56 54 57 60 60 61 65 57 59 60 58 62 63 59 
59 57 54 54 57 63 56 54 57 59 61 63 66 56 60 59 61 64 66 57 
59 55 53 52 56 59 56 54 58 59 61 63 62 58 61 60 59 62 64 56 
57 49 53 54 52 57 51 52 56 56 57 61 56 56 58 59 56 56 60 51 
59 53 53 53 55 61 53 54 56 59 60 61 62 57 62 60 60 59 64 55 
57 51 53 53 52 57 51 52 58 56 60 63 58 56 61 58 56 59 61 55 
57 54 53 54 56 61 51 52 58 59 57 62 60 58 60 58 56 58 63 57 
57 57 55 54 58 60 53 53 56 62 61 63 62 56 61 59 60 64 66 58 
57 52 53 53 52 58 53 52 56 56 55 62 60 57 60 60 55 59 60 51 
58 52 53 52 55 61 54 54 58 59 59 63 64 56 60 60 59 62 66 56 
59 57 54 52 56 61 54 54 56 62 61 63 65 58 62 59 61 62 64 60 
57 50 53 54 51 58 52 53 58 57 56 63 61 57 60 60 56 59 64 52 
59 53 53 52 58 59 53 54 58 59 60 61 62 56 59 59 60 63 62 59 
57 52 53 52 52 60 54 53 57 58 58 61 61 56 62 59 60 58 63 53 
58 55 55 54 55 63 55 53 58 59 59 63 66 58 59 60 61 61 64 57 
57 51 53 52 54 57 53 52 57 54 55 61 58 56 58 58 56 57 63 51 
59 50 53 52 51 55 50 52 56 54 56 61 57 58 58 60 55 56 60 50 
58 48 53 52 53 57 50 52 56 55 56 63 59 56 59 58 56 59 62 52 
