c SAT09-Contest Parameters: unif k=3 r=4.25 v=560 c=2380 seed=1879859331
c Uniform UNKNOWN KSAT Instance k=3, nbc=2380, nbv=560, seed=1879859331
p cnf 560 2380
182 -36 407 0
-198 269 -258 0
512 62 -249 0
362 391 157 0
132 558 498 0
355 -17 482 0
-284 -514 449 0
167 -416 360 0
-202 -95 -315 0
-2 83 -456 0
70 -139 80 0
509 179 -356 0
-114 -467 -192 0
-74 -427 -425 0
421 -69 425 0
-523 -214 20 0
-161 -96 -430 0
-406 415 513 0
18 439 -196 0
-66 170 559 0
-98 -528 61 0
44 -515 1 0
31 368 -158 0
-491 346 -60 0
-112 -37 260 0
315 -555 109 0
-269 277 291 0
47 -123 207 0
-173 456 505 0
-500 -81 -338 0
-11 138 374 0
-61 398 304 0
-54 -450 -204 0
458 -233 336 0
-308 -234 -251 0
-168 -102 -266 0
551 -557 -104 0
-516 -91 334 0
-502 -112 24 0
351 162 -159 0
-36 -113 -71 0
53 -145 449 0
-349 -406 -250 0
-175 -411 365 0
-172 205 181 0
185 -130 353 0
117 262 -454 0
-510 555 -122 0
535 -435 22 0
258 -395 527 0
-267 -230 450 0
-37 -428 268 0
449 -4 13 0
-127 -422 371 0
-239 -76 -531 0
88 194 -73 0
340 -89 -409 0
-528 -14 -180 0
96 -12 306 0
-399 450 -58 0
-517 -98 462 0
234 281 -448 0
119 425 386 0
157 -349 -438 0
-550 79 191 0
300 -281 299 0
9 424 -294 0
-417 167 -544 0
325 473 308 0
208 -67 -176 0
-423 406 -314 0
326 -116 -50 0
-500 262 -188 0
99 384 66 0
-362 -428 1 0
-126 520 6 0
-115 -36 519 0
-79 552 -5 0
-25 131 -114 0
-539 471 344 0
-451 333 439 0
-124 109 223 0
-244 -525 81 0
-414 -73 -513 0
182 102 339 0
-2 -353 -80 0
-113 225 362 0
-288 -188 -282 0
-222 373 -120 0
481 257 393 0
467 264 169 0
492 -546 503 0
-42 -394 -482 0
-497 250 -438 0
75 -111 381 0
-366 337 547 0
412 -227 74 0
-186 399 345 0
134 464 31 0
-193 140 436 0
-245 -248 -310 0
-527 -153 -558 0
-362 342 202 0
-520 407 158 0
-205 542 93 0
306 -98 -359 0
-228 7 -518 0
-47 -188 519 0
-514 -164 342 0
237 112 -331 0
75 542 -69 0
18 -105 -118 0
-29 -381 552 0
-45 258 -305 0
-531 25 200 0
287 -431 446 0
-49 -237 -488 0
-216 518 -173 0
-376 455 -427 0
111 -181 -479 0
490 -94 473 0
301 -443 115 0
-330 -327 367 0
-236 157 -255 0
-330 420 501 0
-331 -542 232 0
404 417 508 0
96 -302 4 0
361 -291 370 0
541 351 -89 0
177 -162 -283 0
54 365 -412 0
-441 -29 369 0
292 271 -127 0
8 219 507 0
-90 166 -283 0
85 14 -246 0
-200 372 -309 0
-260 349 -63 0
51 -22 428 0
-15 -91 210 0
68 -149 -183 0
506 -521 -51 0
496 310 281 0
-199 -441 39 0
-188 -266 -234 0
92 209 382 0
75 213 84 0
304 -13 425 0
-64 162 -55 0
-156 67 235 0
-130 398 275 0
-279 -507 -191 0
-383 -304 497 0
68 -474 -102 0
18 288 85 0
242 407 166 0
552 -48 248 0
189 -442 195 0
101 378 -492 0
-543 175 -33 0
-233 474 355 0
-200 -525 284 0
-486 281 -405 0
186 -179 -520 0
482 -59 -212 0
356 -366 -524 0
-350 506 -412 0
526 -143 145 0
-162 492 -334 0
450 -393 -351 0
-38 490 -416 0
4 -58 -519 0
-180 246 -170 0
309 162 -112 0
-131 -189 -508 0
9 125 -389 0
-391 185 342 0
-357 -67 -283 0
433 -8 -271 0
528 -119 365 0
-136 -51 311 0
-240 272 -29 0
-8 14 427 0
-310 327 -334 0
435 -439 458 0
59 -57 -293 0
-549 508 397 0
-313 361 478 0
-64 527 -544 0
428 41 411 0
550 532 -18 0
414 237 -266 0
338 477 -345 0
367 -62 238 0
73 -462 412 0
-53 222 449 0
288 -245 -104 0
37 529 -21 0
-348 161 160 0
-453 504 347 0
108 -197 422 0
-8 -387 112 0
203 371 102 0
-484 -218 299 0
-483 -49 -546 0
-222 -234 -423 0
-503 243 123 0
258 503 496 0
459 494 -504 0
493 -423 -293 0
377 -502 372 0
-144 235 -82 0
181 123 408 0
-168 -478 -422 0
332 -288 336 0
-43 535 201 0
349 -100 171 0
380 -521 -475 0
1 -115 182 0
340 -331 -147 0
-87 258 173 0
-407 -243 544 0
128 205 306 0
-457 -200 -225 0
-547 -335 71 0
423 110 218 0
18 245 -11 0
114 32 227 0
-436 84 134 0
-456 -313 -437 0
151 540 -419 0
544 -262 137 0
456 -410 -7 0
265 -199 518 0
-97 452 -84 0
232 -68 -495 0
-408 364 -147 0
-380 191 -530 0
-305 80 -22 0
276 -450 -528 0
496 -207 -409 0
-491 -60 -365 0
235 -248 414 0
62 -451 -102 0
-178 -31 544 0
-40 197 484 0
-387 301 -149 0
-93 289 247 0
-558 -301 449 0
-361 219 133 0
389 -122 -418 0
71 -459 -131 0
476 -430 4 0
-347 -425 449 0
-489 -380 -80 0
349 124 494 0
-516 226 -375 0
461 -20 496 0
-446 -24 -369 0
64 161 -444 0
-396 -148 -143 0
501 85 512 0
523 -190 -183 0
-6 408 -379 0
502 -514 -325 0
342 -70 -119 0
-12 311 -226 0
-556 115 -172 0
311 366 -208 0
-374 -66 -252 0
165 -551 -523 0
447 -169 -70 0
-460 23 251 0
-312 372 -159 0
-301 -168 300 0
-196 453 138 0
-296 -389 221 0
-299 -524 -135 0
-517 215 3 0
-347 346 108 0
-374 -549 491 0
121 -150 -131 0
-408 -490 -191 0
26 509 475 0
54 -254 -216 0
484 -105 -294 0
38 261 363 0
-556 260 -22 0
549 38 288 0
-448 -213 180 0
502 -456 15 0
82 43 238 0
-173 56 -159 0
-323 -124 -84 0
-312 -193 -112 0
-392 -476 101 0
477 542 524 0
-365 -453 9 0
-496 -197 -131 0
-472 -251 -406 0
-476 417 525 0
321 -139 -401 0
521 238 -64 0
-464 -17 60 0
380 -29 -74 0
-433 112 -381 0
246 518 -443 0
486 -3 257 0
409 -66 -260 0
12 -95 -150 0
-474 -158 313 0
-101 -119 382 0
-416 -406 471 0
-485 262 184 0
-115 -41 -235 0
-378 -214 -173 0
-514 -524 -331 0
-75 93 -44 0
21 -323 -518 0
244 -141 -282 0
476 523 -76 0
96 -408 102 0
-405 -363 96 0
-501 -375 399 0
210 -404 367 0
166 225 -412 0
263 -329 6 0
288 47 348 0
498 258 -552 0
84 178 -551 0
-53 266 -285 0
-17 64 -98 0
-216 -481 -476 0
-403 557 -165 0
-195 -190 175 0
356 -337 -505 0
179 48 -307 0
-313 531 224 0
-501 300 166 0
-487 -152 -173 0
297 -554 -30 0
-135 459 452 0
327 167 437 0
-183 456 -315 0
386 421 356 0
-304 2 -166 0
236 -240 483 0
339 335 -547 0
335 28 -92 0
-291 -23 -455 0
185 -471 496 0
-218 377 -305 0
-28 -548 -29 0
14 -144 33 0
-384 152 474 0
-224 244 284 0
211 -350 398 0
-327 -179 -228 0
-289 10 284 0
107 -365 513 0
-304 -376 311 0
167 41 549 0
52 304 70 0
436 -214 -230 0
487 44 35 0
9 172 -326 0
485 443 -449 0
-404 -186 170 0
-120 53 -490 0
270 -59 -148 0
-308 -432 -541 0
401 -130 430 0
154 -519 -421 0
-34 -173 -313 0
-369 518 335 0
520 261 1 0
-28 -146 -124 0
-176 -288 56 0
-262 -127 -175 0
-536 461 -411 0
38 -318 202 0
540 159 387 0
-139 559 137 0
-14 -143 273 0
-20 301 -181 0
-156 -522 -517 0
231 -393 -60 0
113 222 65 0
165 197 -220 0
-65 156 160 0
517 555 229 0
-81 446 290 0
-132 -144 -513 0
152 288 425 0
257 -186 294 0
-189 -101 168 0
133 -228 -162 0
524 359 -86 0
-315 428 -26 0
549 -220 -135 0
-519 -204 -507 0
-388 61 -98 0
12 -514 -168 0
121 277 525 0
279 24 127 0
453 -482 144 0
-468 -507 26 0
-190 105 -408 0
184 -195 515 0
202 112 172 0
-384 323 160 0
173 -437 36 0
164 500 369 0
-541 314 -452 0
335 -502 319 0
124 -176 447 0
352 402 178 0
130 -103 49 0
-416 463 -205 0
438 -448 -424 0
491 349 -434 0
442 -293 452 0
160 -251 -90 0
-173 329 114 0
-430 -511 370 0
-524 362 -407 0
546 460 -10 0
189 -373 432 0
178 408 120 0
479 513 306 0
-244 -62 -21 0
-281 -195 -284 0
532 -375 -351 0
-247 292 476 0
-56 -400 -263 0
-330 -415 -553 0
-300 441 454 0
-139 77 209 0
-200 -396 550 0
-342 145 55 0
327 -354 216 0
-57 59 -449 0
101 377 -541 0
-44 481 -111 0
-191 -516 -74 0
-183 -395 23 0
322 -5 -15 0
332 -480 -292 0
174 -80 215 0
-4 -84 180 0
530 -558 338 0
-414 98 480 0
-311 -227 400 0
131 293 -107 0
401 -352 71 0
-82 -333 405 0
-99 -210 -116 0
-309 -381 97 0
494 -234 437 0
173 451 -202 0
496 3 361 0
379 -106 -96 0
157 -87 -380 0
198 -410 -539 0
211 3 116 0
64 487 -319 0
-473 187 166 0
239 -126 -300 0
-509 258 368 0
84 -388 -121 0
-291 -555 -250 0
505 -451 -180 0
-413 -378 -184 0
-484 -54 -491 0
417 439 -100 0
-188 183 48 0
496 -34 123 0
443 72 -513 0
-377 388 -57 0
291 332 157 0
168 -262 527 0
-222 -301 289 0
469 398 431 0
236 -227 117 0
-382 -196 -16 0
24 -137 534 0
-35 -6 452 0
198 465 -341 0
385 -22 -81 0
-334 545 -54 0
322 184 363 0
-2 354 172 0
301 -45 403 0
-540 -403 278 0
140 384 20 0
-125 515 240 0
465 155 249 0
503 134 194 0
-373 -204 175 0
138 533 438 0
-399 -334 -310 0
111 255 -473 0
31 492 -403 0
142 -299 -431 0
266 228 530 0
230 108 -162 0
16 72 -538 0
-214 399 -173 0
-270 457 -98 0
-482 335 -41 0
255 112 -274 0
-218 546 -560 0
273 530 357 0
353 456 -75 0
-16 -357 146 0
95 -108 201 0
-479 110 148 0
427 322 -531 0
-539 185 -12 0
-428 257 -377 0
62 -242 -117 0
-549 -301 -500 0
-208 308 -202 0
87 41 54 0
-531 -79 145 0
-69 366 -375 0
192 518 -462 0
380 -262 78 0
406 -83 436 0
498 -58 -74 0
472 409 -453 0
-199 27 -17 0
-52 38 524 0
216 279 255 0
-436 -1 209 0
-136 -216 -397 0
-207 192 190 0
-162 -45 555 0
-313 -377 509 0
-186 264 -318 0
-259 32 438 0
-23 463 318 0
-422 334 118 0
-474 -538 462 0
-362 311 273 0
-537 -522 446 0
437 484 -122 0
-432 160 450 0
-533 148 -94 0
-437 137 520 0
256 380 506 0
-57 174 162 0
-221 279 239 0
98 532 162 0
294 -521 -226 0
-279 -417 139 0
-365 -184 -176 0
273 -379 217 0
-160 269 -559 0
197 469 163 0
77 56 540 0
-295 -390 -322 0
-263 -401 26 0
138 371 -317 0
-277 -101 111 0
-319 145 -121 0
-10 -469 -333 0
405 265 -116 0
-302 476 100 0
481 -185 1 0
285 483 -134 0
554 457 543 0
-132 264 -72 0
126 72 -486 0
-272 -547 -428 0
192 307 22 0
156 23 -477 0
-281 392 -443 0
362 276 -48 0
-45 47 -216 0
-18 -67 521 0
204 -104 168 0
-232 68 -432 0
525 -518 107 0
441 -325 -182 0
402 387 -523 0
-557 462 393 0
120 518 126 0
137 63 331 0
-99 -321 -139 0
403 142 -448 0
-16 270 -544 0
547 -166 291 0
-333 -382 -521 0
4 364 -482 0
-267 -482 553 0
512 -253 485 0
324 -341 415 0
220 -498 -21 0
194 -518 -349 0
-500 204 463 0
-231 -204 -76 0
160 39 327 0
-11 80 -28 0
-407 125 -219 0
244 528 20 0
84 284 -174 0
-416 -198 -274 0
-348 511 232 0
527 199 -443 0
5 -16 14 0
403 -285 385 0
-485 232 134 0
87 -228 -348 0
-14 -539 -405 0
70 548 381 0
120 99 -349 0
303 162 -397 0
-479 216 519 0
-47 317 185 0
-446 11 -340 0
434 -55 -304 0
-454 -118 -21 0
-350 -436 87 0
8 -367 157 0
-486 245 -474 0
327 483 320 0
-225 -274 269 0
296 -234 -64 0
5 -452 -395 0
-362 -91 256 0
70 352 -405 0
-220 -324 -411 0
-227 90 -316 0
-220 -224 -131 0
-160 -379 539 0
-255 -97 41 0
-157 -10 193 0
-512 -6 -319 0
-195 82 89 0
477 145 -499 0
-370 -171 -239 0
-408 -472 316 0
277 -523 -309 0
44 259 -362 0
338 -36 -14 0
-45 -168 289 0
-427 -242 -553 0
-442 -265 -552 0
-125 517 160 0
-170 -37 -420 0
-180 432 119 0
194 297 -324 0
-433 -559 50 0
151 25 -557 0
425 -122 -372 0
511 -445 340 0
544 549 409 0
9 -518 -418 0
557 -181 115 0
-206 344 441 0
-308 147 214 0
-195 -460 477 0
495 -29 -492 0
459 455 511 0
-256 -550 -483 0
195 261 422 0
-268 111 239 0
475 512 -66 0
-391 373 -43 0
295 -479 -338 0
154 72 314 0
-329 -550 188 0
-467 -402 45 0
303 -432 -161 0
-439 -213 180 0
-199 -523 -187 0
-204 -297 -395 0
-421 -26 -161 0
170 -506 -18 0
-516 -1 -253 0
-160 513 162 0
398 95 559 0
59 -231 122 0
-154 -294 333 0
-205 -208 457 0
386 -352 177 0
477 320 -150 0
501 176 292 0
3 28 -545 0
48 88 -395 0
156 40 558 0
462 231 -486 0
-538 29 39 0
-451 205 338 0
-279 378 82 0
351 -432 184 0
46 344 305 0
-97 136 -436 0
-445 -216 245 0
-278 379 -329 0
-308 -137 -508 0
48 -405 -270 0
100 433 -492 0
409 74 465 0
-57 281 -278 0
-335 168 -204 0
-232 110 82 0
-226 -185 415 0
-407 492 -327 0
-239 -20 -258 0
8 -323 504 0
-292 -217 -251 0
220 -479 -15 0
-521 -36 -341 0
-290 -185 538 0
46 -474 -162 0
-335 31 295 0
-289 -198 359 0
-540 -73 212 0
378 433 -250 0
443 -396 -104 0
-213 451 -429 0
-524 -139 365 0
-374 257 -361 0
299 -409 -180 0
22 -394 -419 0
-415 -376 -313 0
-490 -402 -438 0
-6 -551 -137 0
-170 530 -47 0
117 -211 484 0
448 140 83 0
-508 169 81 0
555 297 348 0
-338 -308 -536 0
455 422 -43 0
175 -124 194 0
206 -219 490 0
421 -386 -470 0
30 -131 553 0
-132 199 554 0
338 172 483 0
-108 -506 503 0
66 -359 -519 0
65 -516 326 0
302 397 -450 0
-181 559 130 0
-157 -49 3 0
537 354 -520 0
44 301 -220 0
507 -524 -460 0
173 -81 -431 0
-91 447 129 0
131 518 440 0
-236 -502 -482 0
-42 -121 211 0
-418 99 -554 0
-149 -557 224 0
484 231 277 0
359 34 488 0
-460 383 533 0
40 -416 329 0
-108 494 -512 0
230 -511 -317 0
10 -179 -415 0
-557 -75 -335 0
413 438 512 0
-118 123 163 0
-207 -509 291 0
384 381 343 0
109 -551 159 0
230 138 -280 0
-313 -148 -447 0
-509 -142 -251 0
-163 -172 78 0
219 294 368 0
533 -463 145 0
200 -18 -333 0
-98 559 179 0
111 -324 -237 0
27 191 422 0
432 274 -505 0
-475 -261 -428 0
529 -37 -115 0
488 430 -280 0
-233 -77 -140 0
-26 -261 -28 0
-213 -169 -189 0
-271 462 304 0
-454 -455 482 0
-430 480 -17 0
443 71 342 0
350 40 467 0
-553 385 484 0
470 359 141 0
539 -434 516 0
518 -493 -543 0
126 269 289 0
-394 -353 -175 0
346 -94 -450 0
424 -244 327 0
188 -39 313 0
396 353 44 0
280 363 -94 0
348 63 23 0
-115 -380 184 0
-559 -430 492 0
-59 60 431 0
-493 539 -222 0
273 512 -451 0
-287 -421 -364 0
-252 415 -400 0
302 113 -309 0
464 133 -537 0
-516 363 -25 0
442 -259 -417 0
-346 -425 -229 0
547 -162 -332 0
81 152 118 0
-7 378 -540 0
63 -154 -164 0
-384 -119 150 0
513 -317 -235 0
26 -324 529 0
-305 -515 -345 0
525 356 169 0
129 469 -242 0
-33 -195 309 0
439 -185 -511 0
-84 -129 378 0
-533 321 -460 0
-288 482 -274 0
255 358 -97 0
-319 440 -176 0
96 85 -298 0
137 244 38 0
386 171 -522 0
470 192 -105 0
373 262 366 0
-82 -138 125 0
-69 -144 158 0
457 507 -290 0
512 124 -466 0
-431 92 -531 0
-11 -359 220 0
-22 -185 41 0
-347 -325 -5 0
-201 -253 -100 0
-552 -438 -103 0
540 461 -261 0
261 408 448 0
226 -386 -527 0
44 -346 491 0
-456 415 5 0
181 -70 -321 0
200 -52 466 0
-496 -173 122 0
-150 307 462 0
-380 -159 130 0
190 146 -391 0
-29 -488 77 0
19 525 333 0
-332 -252 -417 0
315 511 470 0
-76 -391 -358 0
128 251 -466 0
-449 -340 116 0
499 35 -524 0
343 -128 191 0
-374 136 488 0
-425 -319 -111 0
-444 148 -412 0
336 149 -540 0
-262 391 56 0
-427 288 73 0
-494 270 54 0
-476 -380 161 0
-325 -22 -307 0
26 323 -399 0
-438 247 266 0
380 257 452 0
470 247 430 0
-520 -344 -107 0
-542 100 549 0
123 202 32 0
-128 107 -500 0
-135 -365 -139 0
229 428 -79 0
-103 -107 364 0
-139 522 -295 0
247 -404 248 0
352 -193 -203 0
390 -428 443 0
231 -6 186 0
432 296 105 0
-386 454 -145 0
13 522 -91 0
535 35 177 0
-349 -461 184 0
-165 -411 -449 0
-491 307 504 0
-525 386 161 0
90 -397 -538 0
41 420 -122 0
-28 99 187 0
394 263 502 0
-31 -163 -392 0
-333 -458 46 0
-183 202 27 0
-87 50 -492 0
174 -354 -465 0
-82 -201 351 0
-6 -514 -293 0
338 85 519 0
302 -165 231 0
-27 421 -279 0
115 260 44 0
-348 -174 -513 0
300 382 270 0
494 386 -363 0
195 459 209 0
-381 538 79 0
-131 71 167 0
211 -315 -290 0
373 -36 -322 0
-254 227 -11 0
-329 199 472 0
-327 142 347 0
-421 -214 30 0
-199 -166 41 0
-72 443 -446 0
-174 284 -520 0
89 -237 123 0
-539 19 -159 0
-136 450 -31 0
-228 -224 401 0
3 -322 -387 0
480 -7 147 0
179 -114 318 0
-245 -69 195 0
-65 -202 533 0
397 57 -261 0
439 360 337 0
-16 72 152 0
400 -283 -531 0
7 339 323 0
251 -286 317 0
191 167 82 0
-495 -458 225 0
-396 -446 532 0
34 -452 -187 0
-123 373 -184 0
394 -326 363 0
-503 -504 304 0
450 232 257 0
-190 182 103 0
295 245 -74 0
-238 -242 467 0
411 -341 250 0
-523 -223 -473 0
-398 -210 -184 0
388 -538 -27 0
-500 -518 269 0
-225 -274 474 0
90 -103 69 0
-232 118 486 0
-194 221 384 0
-221 -512 505 0
42 -339 175 0
280 128 17 0
-397 -103 -131 0
-256 -340 494 0
-164 -487 332 0
-335 -40 -130 0
366 -478 230 0
-129 184 -20 0
259 -77 -192 0
-201 -165 -470 0
558 311 358 0
251 -289 -97 0
-104 -24 457 0
41 320 193 0
-127 -306 520 0
228 -459 -555 0
-418 420 -415 0
104 182 245 0
172 -233 401 0
-442 -258 -259 0
401 176 -464 0
-556 -416 467 0
-372 -227 -139 0
72 -196 241 0
170 4 -309 0
85 189 448 0
431 -414 -298 0
555 332 -103 0
133 -220 478 0
-364 -22 -515 0
70 478 -300 0
-352 249 455 0
-526 -96 111 0
-207 372 11 0
325 -377 182 0
-115 -370 510 0
399 -279 -506 0
-74 -63 209 0
-368 417 280 0
-468 241 -391 0
-55 113 -538 0
533 -363 464 0
424 -220 146 0
-99 -282 132 0
-383 46 324 0
486 -381 -243 0
-101 -175 467 0
-211 -55 -256 0
297 154 -310 0
-19 -326 -196 0
500 467 159 0
-119 365 -161 0
371 41 -242 0
67 92 556 0
506 534 79 0
-360 -289 -338 0
416 -146 189 0
492 -118 -425 0
269 -337 -152 0
-203 -347 -368 0
-345 -444 434 0
521 117 -510 0
413 -305 -330 0
101 483 -439 0
-350 -301 91 0
-325 -159 195 0
-488 -227 58 0
318 50 532 0
293 -486 -325 0
-340 -29 -272 0
166 93 -234 0
-444 -39 -38 0
-189 -458 -526 0
57 503 -473 0
-346 382 -333 0
-493 -128 -262 0
-312 522 255 0
446 353 121 0
-213 17 -160 0
-423 182 -319 0
336 -451 -276 0
-265 297 378 0
-225 -435 48 0
-336 -173 416 0
-282 276 521 0
417 285 -201 0
-459 -28 132 0
-187 -110 373 0
-56 418 -500 0
559 550 -123 0
-308 -247 -286 0
-33 -353 380 0
-466 279 68 0
173 239 351 0
303 -399 -63 0
-242 501 403 0
375 -411 495 0
-91 -237 416 0
460 427 59 0
316 -6 92 0
115 -438 -262 0
-281 155 244 0
361 489 -143 0
342 -374 179 0
-425 -232 -88 0
-498 98 257 0
-96 435 108 0
339 452 507 0
53 75 497 0
-298 188 232 0
-293 477 -545 0
189 151 -331 0
182 -167 -378 0
-107 -402 297 0
-435 139 3 0
338 -540 126 0
-428 45 378 0
-277 -485 -72 0
-556 -173 -360 0
-175 503 -297 0
124 241 -328 0
67 -121 -214 0
486 -498 373 0
-153 -188 -206 0
-234 220 -134 0
122 30 -361 0
169 552 -538 0
-228 -135 313 0
-174 315 -231 0
-348 -340 -80 0
-524 171 -4 0
-349 398 462 0
546 -278 294 0
66 496 269 0
-340 -70 63 0
33 -351 -19 0
-175 -526 148 0
-388 -555 -253 0
136 -197 -139 0
238 521 38 0
457 50 -274 0
-41 435 460 0
432 -156 392 0
-155 167 39 0
256 223 23 0
241 -330 166 0
357 491 211 0
254 117 -508 0
258 475 454 0
-169 -228 -367 0
92 -169 336 0
464 -539 365 0
-224 -271 467 0
-287 -322 28 0
-153 366 -28 0
-70 -218 541 0
12 -127 -279 0
179 -549 -282 0
108 -60 -209 0
-85 -284 -183 0
61 -432 490 0
273 297 491 0
330 517 558 0
-214 246 -535 0
361 -256 -508 0
-397 -130 -288 0
119 1 -399 0
430 40 488 0
-63 143 415 0
-202 177 301 0
-336 133 404 0
525 -421 -378 0
456 -428 73 0
-533 497 -444 0
-233 7 -543 0
533 444 224 0
-527 -250 153 0
86 315 -543 0
309 523 -70 0
-37 -491 -152 0
350 232 -230 0
-520 -83 -23 0
-277 284 62 0
418 -221 -55 0
-225 33 134 0
-69 309 157 0
196 -174 -325 0
514 304 72 0
503 -175 309 0
454 -321 -129 0
-110 -378 498 0
396 -90 411 0
-206 -455 -41 0
315 -455 145 0
159 176 -524 0
373 502 492 0
-164 11 -337 0
-107 -226 -493 0
-528 -248 177 0
-65 -431 255 0
545 -468 258 0
365 -166 -114 0
237 486 222 0
167 -105 -51 0
-247 58 -356 0
-512 380 267 0
259 -499 446 0
-367 -273 -24 0
-150 -123 -45 0
537 -288 -409 0
346 -425 219 0
-242 202 341 0
-233 210 -440 0
-439 -424 -284 0
-174 -199 -293 0
546 408 -244 0
541 -543 -106 0
-269 472 -283 0
150 380 -162 0
481 362 -237 0
-168 173 71 0
-80 341 233 0
-387 -224 -418 0
88 -107 -21 0
-9 -43 61 0
465 501 242 0
493 -63 385 0
-158 -236 508 0
-327 101 -503 0
-141 63 322 0
-463 -352 -303 0
-416 355 -508 0
213 390 -487 0
543 373 -126 0
-205 267 -450 0
-391 254 -196 0
-215 -232 529 0
189 -284 71 0
357 463 136 0
-484 -295 47 0
-218 -537 -59 0
468 -223 -283 0
319 373 -491 0
-253 496 -456 0
-183 -410 10 0
-101 333 139 0
249 -105 186 0
-103 299 -546 0
-359 516 394 0
-365 230 494 0
-111 467 -112 0
275 -92 -272 0
206 221 289 0
174 446 -381 0
540 295 -399 0
449 -262 393 0
-400 -173 486 0
209 257 -75 0
-77 73 -377 0
240 -78 -5 0
201 -425 248 0
-275 -364 19 0
-331 419 -97 0
13 182 134 0
539 -354 347 0
532 251 -450 0
-93 26 52 0
184 -272 -409 0
-537 -540 507 0
156 -487 541 0
307 -261 -348 0
-495 315 -336 0
4 188 -3 0
82 -459 -138 0
176 331 -243 0
377 264 546 0
-228 492 -440 0
-349 -228 -158 0
14 -209 302 0
-317 -80 -20 0
-398 311 473 0
152 -215 123 0
-351 -537 448 0
-248 373 -372 0
243 -31 -216 0
-85 445 -155 0
-130 497 -390 0
439 530 198 0
-549 317 -342 0
476 257 347 0
-556 526 -265 0
237 426 -179 0
232 -434 472 0
-58 -516 -262 0
504 -321 123 0
113 -537 -558 0
-197 75 -407 0
317 -311 -280 0
262 123 153 0
514 -1 -297 0
-381 -241 487 0
38 472 186 0
-366 397 -132 0
339 -454 50 0
285 142 278 0
409 -286 455 0
-327 -335 45 0
-556 462 -527 0
508 -427 207 0
447 480 -217 0
465 295 155 0
403 122 159 0
-138 -17 -547 0
73 289 336 0
-416 -426 250 0
532 -147 -344 0
-455 222 -363 0
-182 535 -540 0
-182 457 551 0
404 454 -181 0
-351 -297 -419 0
-238 267 330 0
-280 10 149 0
216 41 -240 0
345 -437 -353 0
382 -211 81 0
199 383 218 0
534 103 191 0
-532 22 520 0
-43 -344 542 0
-537 -280 482 0
-257 -118 25 0
231 -272 542 0
-26 -310 524 0
-308 -13 -486 0
-228 358 -90 0
-307 399 426 0
200 -421 430 0
-375 355 502 0
394 -325 340 0
-401 -153 -515 0
-478 -29 -126 0
-180 -550 238 0
443 -314 177 0
-556 -504 -417 0
10 291 -456 0
405 -506 -130 0
327 -396 350 0
