512 1536
104 112 75974
105 113 -12016
106 114 -77886
107 115 82681
108 116 -79087
109 117 -168383
110 118 66620
111 119 9564
112 120 33005
113 121 -69101
114 122 257701
115 123 1548
116 124 23626
117 125 139258
118 126 209534
119 127 176747
120 128 -40357
121 65 22143
122 66 4225
123 67 50987
124 68 -187572
125 69 117366
126 70 -12470
127 71 -140784
128 72 -277003
65 129 54265
66 130 6058
67 131 -140274
68 132 13136
69 133 -87824
70 134 -45683
71 135 11612
72 136 -14404
73 137 114127
74 138 57857
75 139 7023
76 140 -130976
77 141 58488
78 142 -37676
79 143 -34033
80 144 221873
81 145 65614
82 146 -8233
83 147 50588
84 148 30185
85 149 -38099
86 150 128855
87 151 -165483
88 152 44972
89 153 -57480
90 154 -78818
91 155 -139437
92 156 128029
93 157 -45647
94 158 -64781
95 159 4964
96 160 -115368
97 161 -4691
98 162 76258
99 163 -128387
100 164 -26847
101 165 -32060
102 166 -102398
103 167 53093
104 168 73842
105 169 -53902
106 170 -51832
107 171 -101106
108 172 -139376
109 173 -2749
110 174 -122172
111 175 -54425
112 176 4619
113 177 184995
114 178 193215
115 179 -16977
116 180 234686
117 181 -51985
118 182 59893
119 183 4806
120 184 -50661
121 185 8770
122 186 28244
123 187 -40014
124 188 -70355
125 189 106005
126 190 -30621
127 191 -24334
128 192 -85803
129 130 8779
130 131 -146594
131 132 -78452
132 133 -51720
133 134 46995
134 135 -14441
135 136 3986
136 129 -27316
137 138 -50104
138 139 60716
139 140 119468
140 141 -63537
141 142 -7722
142 143 -138460
143 144 -39926
144 137 67386
145 146 -15728
146 147 -8924
147 148 14809
148 149 -31351
149 150 13733
150 151 62431
151 152 128828
152 145 109536
153 154 36678
154 155 -32974
155 156 -48329
156 157 -179126
157 158 83746
158 159 126489
159 160 -54184
160 153 -87759
161 162 60040
162 163 28951
163 164 45270
164 165 -129984
165 166 -114764
166 167 -99058
167 168 -55313
168 161 132776
169 170 10656
170 171 87246
171 172 -8207
172 173 125617
173 174 123885
174 175 532
175 176 7429
176 169 53809
177 178 -36624
178 179 178105
179 180 83722
180 181 158158
181 182 -23374
182 183 -50206
183 184 -157012
184 177 -176190
185 186 68801
186 187 129744
187 188 21610
188 189 -111037
189 190 -2825
190 191 83383
191 192 4024
192 185 74126
129 137 34174
130 138 50635
131 139 -48549
132 140 57486
133 141 -84777
134 142 -60156
135 143 -72942
136 144 -35031
137 145 -113051
138 146 -2275
139 147 69860
140 148 42852
141 149 110706
142 150 -233061
143 151 76076
144 152 76199
145 153 140663
146 154 -20093
147 155 -10698
148 156 -18644
149 157 110231
150 158 126632
151 159 220785
152 160 -85010
153 161 155245
154 162 -40038
155 163 -209280
156 164 -76963
157 165 -34219
158 166 43827
159 167 -31502
160 168 -153796
161 169 61893
162 170 55211
163 171 -19954
164 172 -23802
165 173 -80035
166 174 98880
167 175 -144468
168 176 -207047
169 177 -14185
170 178 -23311
171 179 61670
172 180 -35309
173 181 100170
174 182 -77665
175 183 -17640
176 184 -27786
177 185 42404
178 186 50396
179 187 69018
180 188 53117
181 189 -327032
182 190 -95867
183 191 -64399
184 192 91442
185 129 35645
186 130 -88604
187 131 70212
188 132 87864
189 133 -66442
190 134 52028
191 135 129437
192 136 112815
129 193 -168470
130 194 53508
131 195 96730
132 196 -35639
133 197 130097
134 198 43803
135 199 28160
136 200 293496
137 201 158176
138 202 24526
139 203 -17740
140 204 -113581
141 205 8080
142 206 7922
143 207 -21259
144 208 -90991
145 209 81921
146 210 -241468
147 211 -120149
148 212 -64783
149 213 92258
150 214 143689
151 215 -121773
152 216 -96986
153 217 -193128
154 218 121077
155 219 -102376
156 220 54505
157 221 -58278
158 222 -45281
159 223 140844
160 224 -123225
161 225 80114
162 226 28542
163 227 -29002
164 228 -87749
165 229 -92918
166 230 124706
167 231 168620
168 232 -52745
169 233 -24960
170 234 -580
171 235 85251
172 236 119063
173 237 35576
174 238 71774
175 239 -149043
176 240 46421
177 241 6532
178 242 -44647
179 243 60223
180 244 160499
181 245 38867
182 246 109277
183 247 11090
184 248 -12585
185 249 100276
186 250 -39665
187 251 79746
188 252 -27389
189 253 116970
190 254 153133
191 255 -136101
192 256 228505
193 194 14895
194 195 41302
195 196 -6730
196 197 -905
197 198 -97983
198 199 -181616
199 200 -59031
200 193 39392
201 202 -24209
202 203 55587
203 204 -104218
204 205 78005
205 206 96063
206 207 -48337
207 208 45674
208 201 -64413
209 210 -84608
210 211 -6988
211 212 16321
212 213 10079
213 214 11112
214 215 58924
215 216 30350
216 209 -54668
217 218 75623
218 219 -126563
219 220 -17009
220 221 118882
221 222 35053
222 223 -86733
223 224 -11968
224 217 67022
225 226 26261
226 227 -24907
227 228 9617
228 229 -137088
229 230 102385
230 231 -43723
231 232 52296
232 225 -59410
233 234 -64302
234 235 -23802
235 236 181565
236 237 114255
237 238 118853
238 239 107602
239 240 -134011
240 233 -18562
241 242 24461
242 243 88769
243 244 69052
244 245 -23831
245 246 -186192
246 247 -97681
247 248 -129704
248 241 76275
249 250 42733
250 251 66832
251 252 1372
252 253 -30440
253 254 -43977
254 255 -141770
255 256 -145947
256 249 -108092
193 201 95334
194 202 120132
195 203 -22546
196 204 -85324
197 205 9711
198 206 -106515
199 207 54168
200 208 2882
201 209 -50446
202 210 189727
203 211 -23932
204 212 -25080
205 213 15962
206 214 68309
207 215 110252
208 216 28387
209 217 -17591
210 218 35837
211 219 -36596
212 220 -36120
213 221 -27698
214 222 -46863
215 223 42198
216 224 -81590
217 225 87249
218 226 -149653
219 227 15880
220 228 33533
221 229 -56222
222 230 -21783
223 231 137253
224 232 14800
225 233 -67788
226 234 5069
227 235 -232309
228 236 107024
229 237 -134428
230 238 -49605
231 239 24266
232 240 514
233 241 -115487
234 242 45774
235 243 -65986
236 244 -31635
237 245 -31355
238 246 -89445
239 247 205236
240 248 -15008
241 249 -122989
242 250 -244492
243 251 -128702
244 252 125307
245 253 13143
246 254 -51892
247 255 -9674
248 256 19110
249 193 -216487
250 194 -38769
251 195 112446
252 196 10856
253 197 -96792
254 198 34777
255 199 80534
256 200 78174
193 257 45951
194 258 -599
195 259 -8495
196 260 -42631
197 261 -24407
198 262 72515
199 263 -169993
200 264 -66312
201 265 117937
202 266 152087
203 267 74414
204 268 -72806
205 269 -65765
206 270 47952
207 271 -28326
208 272 -128922
209 273 -72102
210 274 81251
211 275 247125
212 276 -80268
213 277 85405
214 278 54791
215 279 -191726
216 280 140714
217 281 -4195
218 282 -53878
219 283 77741
220 284 -9246
221 285 9786
222 286 132799
223 287 -97602
224 288 -7968
225 289 -121107
226 290 55697
227 291 71880
228 292 122995
229 293 -8440
230 294 -11335
231 295 -59553
232 296 203159
233 297 36750
234 298 50531
235 299 13973
236 300 -79862
237 301 -100647
238 302 14517
239 303 -149662
240 304 -62500
241 305 -55538
242 306 -35029
243 307 4216
244 308 -7701
245 309 49725
246 310 -75300
247 311 142281
248 312 -71013
249 313 20606
250 314 -38299
251 315 97261
252 316 110151
253 317 -107510
254 318 38558
255 319 165832
256 320 -232030
257 258 20506
258 259 -247395
259 260 -22006
260 261 -119773
261 262 117163
262 263 -65434
263 264 -130053
264 257 -55820
265 266 182463
266 267 -77368
267 268 -110481
268 269 18926
269 270 -66348
270 271 57934
271 272 -125487
272 265 -176123
273 274 131423
274 275 -59295
275 276 49519
276 277 -30302
277 278 -228167
278 279 65446
279 280 63436
280 273 -77959
281 282 -112993
282 283 79712
283 284 -78679
284 285 -26545
285 286 41670
286 287 114087
287 288 70557
288 281 -46954
289 290 15808
290 291 72281
291 292 186508
292 293 160288
293 294 82686
294 295 15881
295 296 -83509
296 289 -69530
297 298 -20082
298 299 66582
299 300 32122
300 301 -92325
301 302 -116372
302 303 -19277
303 304 -69316
304 297 53558
305 306 -151085
306 307 11263
307 308 -42817
308 309 -157152
309 310 263425
310 311 -128302
311 312 -28478
312 305 47114
313 314 -39589
314 315 132189
315 316 80001
316 317 64151
317 318 -169831
318 319 30944
319 320 25129
320 313 75566
257 265 -90667
258 266 -8046
259 267 -143341
260 268 115711
261 269 -136320
262 270 -36162
263 271 135078
264 272 59095
265 273 -116943
266 274 117935
267 275 26998
268 276 131402
269 277 -36
270 278 -153902
271 279 -104336
272 280 -102354
273 281 -167133
274 282 120137
275 283 28476
276 284 7932
277 285 92227
278 286 -27687
279 287 120770
280 288 35830
281 289 -42542
282 290 98773
283 291 14262
284 292 117528
285 293 13556
286 294 -23664
287 295 46856
288 296 83749
289 297 79605
290 298 -11610
291 299 114711
292 300 -2180
293 301 93628
294 302 -69203
295 303 119659
296 304 -121125
297 305 -87725
298 306 -71216
299 307 -103634
300 308 -128266
301 309 -15775
302 310 -33456
303 311 -7852
304 312 -67533
305 313 164252
306 314 71383
307 315 -3291
308 316 48511
309 317 97111
310 318 -18569
311 319 -111607
312 320 -46300
313 257 -8003
314 258 3396
315 259 -62245
316 260 -58364
317 261 -152041
318 262 -93990
319 263 -55314
320 264 -190055
257 321 11469
258 322 -140993
259 323 -255910
260 324 119333
261 325 25382
262 326 -51345
263 327 -60436
264 328 -195566
265 329 -55988
266 330 165599
267 331 -25238
268 332 311
269 333 -149170
270 334 48648
271 335 -108561
272 336 10342
273 337 -142704
274 338 -80533
275 339 39401
276 340 -112090
277 341 18736
278 342 -75275
279 343 225032
280 344 -90641
281 345 16593
282 346 12497
283 347 -110517
284 348 -99727
285 349 -89539
286 350 -9074
287 351 -32118
288 352 -128839
289 353 -198241
290 354 -78458
291 355 -90686
292 356 -76222
293 357 -65222
294 358 3852
295 359 94943
296 360 -40221
297 361 -82670
298 362 53258
299 363 71666
300 364 224265
301 365 181859
302 366 -93948
303 367 -110076
304 368 40011
305 369 139145
306 370 125081
307 371 -69019
308 372 -139563
309 373 5972
310 374 105
311 375 -69825
312 376 79799
313 377 68259
314 378 48848
315 379 -747
316 380 52467
317 381 -42129
318 382 44067
319 383 -51451
320 384 -30628
321 322 -77959
322 323 16422
323 324 125024
324 325 -132355
325 326 -37680
326 327 -1613
327 328 -13008
328 321 -78070
329 330 -16347
330 331 -162870
331 332 24590
332 333 -92392
333 334 104561
334 335 -23092
335 336 -19083
336 329 17537
337 338 -59474
338 339 -39292
339 340 184718
340 341 85266
341 342 45123
342 343 153236
343 344 -104105
344 337 16320
345 346 -138297
346 347 -70998
347 348 159328
348 349 155191
349 350 50996
350 351 -20741
351 352 -146862
352 345 85198
353 354 -17253
354 355 173290
355 356 18957
356 357 -83139
357 358 -30563
358 359 -205681
359 360 79453
360 353 -53977
361 362 66519
362 363 43414
363 364 78287
364 365 68009
365 366 92754
366 367 20008
367 368 89671
368 361 70459
369 370 105955
370 371 118148
371 372 -105022
372 373 -87539
373 374 239272
374 375 -75008
375 376 87435
376 369 -119564
377 378 76113
378 379 76561
379 380 21954
380 381 95396
381 382 308059
382 383 36197
383 384 68741
384 377 274334
321 329 -183912
322 330 -214
323 331 -11859
324 332 -44490
325 333 172515
326 334 -32892
327 335 115265
328 336 71703
329 337 -88504
330 338 159505
331 339 -44655
332 340 -86761
333 341 3063
334 342 -5072
335 343 -62082
336 344 -177331
337 345 33272
338 346 22509
339 347 89587
340 348 -126660
341 349 -61105
342 350 129392
343 351 -1
344 352 41225
345 353 214548
346 354 -89678
347 355 33187
348 356 -28900
349 357 147993
350 358 -12752
351 359 -93735
352 360 65622
353 361 -89956
354 362 79807
355 363 -147264
356 364 19085
357 365 -99058
358 366 -30213
359 367 33687
360 368 -66195
361 369 70020
362 370 -27812
363 371 60170
364 372 -95181
365 373 163536
366 374 44467
367 375 -29936
368 376 31326
369 377 -101239
370 378 75346
371 379 45540
372 380 -127128
373 381 61800
374 382 -44618
375 383 -55767
376 384 129288
377 321 -187485
378 322 -55359
379 323 -114449
380 324 -75147
381 325 -56912
382 326 -66159
383 327 -28905
384 328 148037
321 385 -17594
322 386 -140490
323 387 -60135
324 388 160273
325 389 -7937
326 390 69915
327 391 -21747
328 392 71714
329 393 -49689
330 394 -53097
331 395 -113481
332 396 -60194
333 397 19935
334 398 -705
335 399 22566
336 400 27942
337 401 -112636
338 402 -8917
339 403 29951
340 404 -52848
341 405 20072
342 406 -6005
343 407 -164023
344 408 -50205
345 409 -36334
346 410 76727
347 411 20272
348 412 141444
349 413 -14662
350 414 -134200
351 415 8118
352 416 123172
353 417 -16259
354 418 -22251
355 419 -91050
356 420 -46870
357 421 61390
358 422 122272
359 423 78657
360 424 31857
361 425 -187439
362 426 -160558
363 427 47939
364 428 -77375
365 429 69266
366 430 29818
367 431 -27028
368 432 31219
369 433 60381
370 434 -132645
371 435 84033
372 436 -57753
373 437 -165707
374 438 -159699
375 439 -179358
376 440 -63452
377 441 -78243
378 442 93680
379 443 136425
380 444 -74879
381 445 50053
382 446 111559
383 447 -106137
384 448 61595
385 386 -162107
386 387 32466
387 388 -13919
388 389 -87299
389 390 171147
390 391 -56175
391 392 -40561
392 385 -84030
393 394 72970
394 395 99421
395 396 -90536
396 397 13535
397 398 -55316
398 399 -69684
399 400 203136
400 393 97370
401 402 -10352
402 403 125218
403 404 -204880
404 405 73196
405 406 1035
406 407 51441
407 408 -12789
408 401 -88455
409 410 188938
410 411 -98361
411 412 -24328
412 413 75273
413 414 137420
414 415 -68473
415 416 76072
416 409 -163924
417 418 79128
418 419 19251
419 420 79887
420 421 -8385
421 422 -294541
422 423 -263337
423 424 194910
424 417 -79561
425 426 128054
426 427 -115810
427 428 43927
428 429 -178131
429 430 -147155
430 431 -87865
431 432 -70432
432 425 77382
433 434 44085
434 435 31908
435 436 36155
436 437 -35530
437 438 -95465
438 439 -98246
439 440 275765
440 433 135268
441 442 -20503
442 443 26664
443 444 30477
444 445 117794
445 446 -10116
446 447 -180145
447 448 137701
448 441 -67295
385 393 -145113
386 394 -93100
387 395 63274
388 396 -155480
389 397 127102
390 398 -67441
391 399 -172701
392 400 -23194
393 401 -242913
394 402 -114447
395 403 135403
396 404 70214
397 405 31183
398 406 -110441
399 407 -88510
400 408 20265
401 409 134528
402 410 38177
403 411 128335
404 412 -72487
405 413 -87503
406 414 159445
407 415 -176754
408 416 37535
409 417 -62894
410 418 -160775
411 419 21936
412 420 -122322
413 421 -96217
414 422 -116652
415 423 101035
416 424 -160990
417 425 -59283
418 426 -134339
419 427 25344
420 428 47541
421 429 -61828
422 430 94935
423 431 121154
424 432 32958
425 433 -19530
426 434 57341
427 435 106587
428 436 -142914
429 437 46394
430 438 184447
431 439 -119986
432 440 -67636
433 441 90208
434 442 35903
435 443 101935
436 444 80402
437 445 -42765
438 446 -100806
439 447 88961
440 448 4988
441 385 93790
442 386 133121
443 387 -26368
444 388 -52912
445 389 -321428
446 390 91408
447 391 -11983
448 392 -79111
385 449 -10605
386 450 -162876
387 451 -9278
388 452 -72481
389 453 56923
390 454 61583
391 455 120632
392 456 47556
393 457 141494
394 458 -109580
395 459 4155
396 460 -4488
397 461 -92663
398 462 -3070
399 463 -101088
400 464 191280
401 465 -95500
402 466 238782
403 467 4199
404 468 3427
405 469 64118
406 470 176302
407 471 -195863
408 472 134340
409 473 -101200
410 474 226848
411 475 -6931
412 476 33580
413 477 -123317
414 478 -98185
415 479 -199850
416 480 -191978
417 481 -60940
418 482 66851
419 483 84859
420 484 -36953
421 485 60907
422 486 -120486
423 487 -5784
424 488 -46950
425 489 160966
426 490 -76897
427 491 -28195
428 492 20239
429 493 -29038
430 494 39526
431 495 1774
432 496 -72942
433 497 41153
434 498 56942
435 499 25592
436 500 -180219
437 501 7592
438 502 -13195
439 503 -173184
440 504 -31459
441 505 5717
442 506 44855
443 507 145457
444 508 -34780
445 509 -110845
446 510 -9185
447 511 -180071
448 512 127460
449 450 37846
450 451 127582
451 452 -26598
452 453 -21751
453 454 -130928
454 455 112434
455 456 53507
456 449 -29389
457 458 -36880
458 459 62316
459 460 51429
460 461 -142087
461 462 -105363
462 463 -42947
463 464 -89837
464 457 26410
465 466 -35078
466 467 38500
467 468 231593
468 469 8208
469 470 166708
470 471 73938
471 472 14650
472 465 7147
473 474 131772
474 475 151994
475 476 -40321
476 477 172512
477 478 73915
478 479 -24018
479 480 104427
480 473 -238879
481 482 135902
482 483 -221928
483 484 -22920
484 485 -69178
485 486 82053
486 487 36849
487 488 -35923
488 481 109779
489 490 -23227
490 491 -21103
491 492 119142
492 493 -79003
493 494 -17885
494 495 -129405
495 496 93391
496 489 58439
497 498 91406
498 499 -33466
499 500 55750
500 501 -10065
501 502 17947
502 503 -20380
503 504 -83655
504 497 171321
505 506 -41018
506 507 -226132
507 508 -65304
508 509 -29215
509 510 -134426
510 511 -114459
511 512 23046
512 505 -18390
449 457 -16364
450 458 62776
451 459 99883
452 460 136334
453 461 150500
454 462 2644
455 463 96520
456 464 -20420
457 465 -33293
458 466 21736
459 467 113870
460 468 3834
461 469 -32053
462 470 -65443
463 471 13098
464 472 -37922
465 473 -101993
466 474 110245
467 475 1116
468 476 -47987
469 477 -14393
470 478 108085
471 479 46055
472 480 -36344
473 481 -53956
474 482 99559
475 483 -193696
476 484 106971
477 485 46873
478 486 42434
479 487 -124154
480 488 -106550
481 489 38152
482 490 -76264
483 491 -38746
484 492 27846
485 493 -16545
486 494 16856
487 495 70154
488 496 -79244
489 497 26112
490 498 26214
491 499 159980
492 500 20614
493 501 -32382
494 502 -113580
495 503 75964
496 504 -35521
497 505 303032
498 506 4301
499 507 460
500 508 81282
501 509 99076
502 510 -3516
503 511 99796
504 512 38181
505 449 9965
506 450 60744
507 451 45614
508 452 -95433
509 453 -22751
510 454 46643
511 455 52730
512 456 114709
449 1 1468
450 2 -25168
451 3 -170033
452 4 -116955
453 5 -132675
454 6 68518
455 7 66038
456 8 -39426
457 9 47292
458 10 5615
459 11 17639
460 12 -57389
461 13 -20430
462 14 72803
463 15 -33732
464 16 91258
465 17 -121025
466 18 78944
467 19 86955
468 20 -83313
469 21 108857
470 22 -46244
471 23 -145800
472 24 -81310
473 25 -146430
474 26 -106176
475 27 -13425
476 28 251653
477 29 39583
478 30 -68055
479 31 102011
480 32 -47697
481 33 66122
482 34 92321
483 35 116920
484 36 42883
485 37 -56084
486 38 156697
487 39 -19109
488 40 -198891
489 41 -23806
490 42 -69299
491 43 35708
492 44 41816
493 45 -87896
494 46 -167860
495 47 -107795
496 48 -128452
497 49 -300736
498 50 74023
499 51 65417
500 52 -1331
501 53 -4861
502 54 90549
503 55 -64320
504 56 43076
505 57 -20955
506 58 213696
507 59 -38402
508 60 -20914
509 61 207363
510 62 137808
511 63 12793
512 64 234426
